,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2017-01-03,1.108,1.108,0.18,开放申购,开放赎回,nan
1,2017-01-04,1.11,1.11,0.18,开放申购,开放赎回,nan
2,2017-01-05,1.11,1.11,0.0,开放申购,开放赎回,nan
3,2017-01-06,1.11,1.11,0.0,开放申购,开放赎回,nan
4,2017-01-09,1.111,1.111,0.09,开放申购,开放赎回,nan
5,2017-01-10,1.113,1.113,0.18,开放申购,开放赎回,nan
6,2017-01-11,1.113,1.113,0.0,开放申购,开放赎回,nan
7,2017-01-12,1.112,1.112,-0.09,开放申购,开放赎回,nan
8,2017-01-13,1.113,1.113,0.09,开放申购,开放赎回,nan
9,2017-01-16,1.113,1.113,0.0,开放申购,开放赎回,nan
10,2017-01-17,1.113,1.113,0.0,开放申购,开放赎回,nan
11,2017-01-18,1.112,1.112,-0.09,开放申购,开放赎回,nan
12,2017-01-19,1.112,1.112,0.0,开放申购,开放赎回,nan
13,2017-01-20,1.114,1.114,0.18,开放申购,开放赎回,nan
14,2017-01-23,1.115,1.115,0.09,开放申购,开放赎回,nan
15,2017-01-24,1.116,1.116,0.09,开放申购,开放赎回,nan
16,2017-01-25,1.116,1.116,0.0,开放申购,开放赎回,nan
17,2017-01-26,1.116,1.116,0.0,开放申购,开放赎回,nan
18,2017-02-03,1.115,1.115,-0.09,开放申购,开放赎回,nan
19,2017-02-06,1.115,1.115,0.0,开放申购,开放赎回,nan
20,2017-02-07,1.113,1.113,-0.18,开放申购,开放赎回,nan
21,2017-02-08,1.113,1.113,0.0,开放申购,开放赎回,nan
22,2017-02-09,1.114,1.114,0.09,开放申购,开放赎回,nan
23,2017-02-10,1.115,1.115,0.09,开放申购,开放赎回,nan
24,2017-02-13,1.117,1.117,0.18,开放申购,开放赎回,nan
25,2017-02-14,1.117,1.117,0.0,开放申购,开放赎回,nan
26,2017-02-15,1.117,1.117,0.0,开放申购,开放赎回,nan
27,2017-02-16,1.118,1.118,0.09,开放申购,开放赎回,nan
28,2017-02-17,1.117,1.117,-0.09,开放申购,开放赎回,nan
29,2017-02-20,1.121,1.121,0.36,开放申购,开放赎回,nan
30,2017-02-21,1.121,1.121,0.0,开放申购,开放赎回,nan
31,2017-02-22,1.121,1.121,0.0,开放申购,开放赎回,nan
32,2017-02-23,1.121,1.121,0.0,开放申购,开放赎回,nan
33,2017-02-24,1.122,1.122,0.09,开放申购,开放赎回,nan
34,2017-02-27,1.122,1.122,0.0,开放申购,开放赎回,nan
35,2017-02-28,1.122,1.122,0.0,开放申购,开放赎回,nan
36,2017-03-01,1.123,1.123,0.09,开放申购,开放赎回,nan
37,2017-03-02,1.122,1.122,-0.09,开放申购,开放赎回,nan
38,2017-03-03,1.122,1.122,0.0,开放申购,开放赎回,nan
39,2017-03-06,1.123,1.123,0.09,开放申购,开放赎回,nan
40,2017-03-07,1.123,1.123,0.0,开放申购,开放赎回,nan
41,2017-03-08,1.123,1.123,0.0,开放申购,开放赎回,nan
42,2017-03-09,1.122,1.122,-0.09,开放申购,开放赎回,nan
43,2017-03-10,1.122,1.122,0.0,开放申购,开放赎回,nan
44,2017-03-13,1.123,1.123,0.09,开放申购,开放赎回,nan
45,2017-03-14,1.123,1.123,0.0,开放申购,开放赎回,nan
46,2017-03-15,1.124,1.124,0.09,开放申购,开放赎回,nan
47,2017-03-16,1.126,1.126,0.18,开放申购,开放赎回,nan
48,2017-03-17,1.125,1.125,-0.09,开放申购,开放赎回,nan
49,2017-03-20,1.126,1.126,0.09,开放申购,开放赎回,nan
50,2017-03-21,1.127,1.127,0.09,开放申购,开放赎回,nan
