"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2017年4月5日","3,503.89","3,476.42","3,504.54","3,475.15","143.40K","1.38%"
"2017年3月31日","3,456.05","3,434.82","3,456.31","3,430.82","91.58K","0.56%"
"2017年3月30日","3,436.76","3,461.62","3,467.30","3,422.37","116.38K","-0.82%"
"2017年3月29日","3,465.19","3,472.97","3,483.06","3,455.55","104.85K","-0.13%"
"2017年3月28日","3,469.81","3,480.25","3,482.29","3,461.47","84.20K","-0.24%"
"2017年3月27日","3,478.04","3,488.76","3,505.98","3,474.52","107.02K","-0.33%"
"2017年3月24日","3,489.60","3,464.20","3,499.32","3,461.11","125.65K","0.80%"
"2017年3月23日","3,461.98","3,452.41","3,470.82","3,435.69","94.32K","0.35%"
"2017年3月22日","3,450.05","3,450.75","3,464.33","3,433.50","104.94K","-0.47%"
"2017年3月21日","3,466.35","3,449.77","3,466.70","3,445.64","87.71K","0.49%"
"2017年3月20日","3,449.61","3,449.05","3,454.06","3,429.83","88.73K","0.11%"
"2017年3月17日","3,445.81","3,485.31","3,488.50","3,441.47","103.76K","-1.03%"
"2017年3月16日","3,481.51","3,472.27","3,492.13","3,472.27","106.33K","0.52%"
"2017年3月15日","3,463.64","3,452.21","3,463.92","3,445.27","79.11K","0.20%"
"2017年3月14日","3,456.69","3,456.66","3,465.39","3,448.90","77.08K","-0.04%"
"2017年3月13日","3,458.10","3,425.67","3,458.10","3,412.69","91.68K","0.88%"
"2017年3月10日","3,427.89","3,423.98","3,436.24","3,423.94","70.02K","0.03%"
"2017年3月9日","3,426.94","3,442.90","3,443.05","3,414.68","84.57K","-0.63%"
"2017年3月8日","3,448.73","3,452.20","3,457.04","3,441.26","79.59K","-0.15%"
"2017年3月7日","3,453.96","3,446.16","3,454.04","3,440.06","80.34K","0.22%"
"2017年3月6日","3,446.48","3,427.25","3,449.03","3,425.90","83.07K","0.54%"
"2017年3月3日","3,427.86","3,424.66","3,428.88","3,412.83","81.00K","-0.21%"
"2017年3月2日","3,435.10","3,463.48","3,468.47","3,434.00","89.90K","-0.67%"
"2017年3月1日","3,458.44","3,452.21","3,472.70","3,449.11","103.26K","0.16%"
"2017年2月28日","3,452.81","3,445.03","3,460.91","3,441.36","75.22K","0.19%"
"2017年2月27日","3,446.22","3,471.13","3,472.84","3,441.39","98.67K","-0.80%"
"2017年2月24日","3,473.85","3,468.96","3,473.85","3,455.25","95.54K","0.02%"
"2017年2月23日","3,473.32","3,487.57","3,492.96","3,460.12","99.54K","-0.47%"
"2017年2月22日","3,489.76","3,483.20","3,489.95","3,473.52","102.82K","0.20%"
"2017年2月21日","3,482.82","3,475.06","3,490.09","3,472.02","114.84K","0.33%"
"2017年2月20日","3,471.39","3,421.64","3,472.60","3,421.64","132.63K","1.46%"
"2017年2月17日","3,421.44","3,443.62","3,457.56","3,419.61","114.60K","-0.57%"
"2017年2月16日","3,440.93","3,421.83","3,440.93","3,418.35","108.28K","0.56%"
"2017年2月15日","3,421.71","3,435.39","3,448.03","3,417.08","127.64K","-0.41%"
"2017年2月14日","3,435.80","3,438.51","3,440.67","3,424.40","94.81K","-0.01%"
"2017年2月13日","3,436.28","3,416.92","3,439.54","3,416.87","120.15K","0.67%"
"2017年2月10日","3,413.49","3,398.32","3,422.33","3,398.03","123.77K","0.51%"
"2017年2月9日","3,396.29","3,381.90","3,406.59","3,379.79","97.56K","0.38%"
"2017年2月8日","3,383.29","3,361.78","3,383.69","3,347.43","75.40K","0.52%"
"2017年2月7日","3,365.68","3,371.77","3,376.71","3,354.63","63.75K","-0.22%"
"2017年2月6日","3,373.21","3,368.11","3,381.33","3,358.75","68.52K","0.26%"
"2017年2月3日","3,364.49","3,390.93","3,392.48","3,362.57","55.19K","-0.69%"
"2017年1月26日","3,387.96","3,378.26","3,395.88","3,378.26","65.32K","0.36%"
"2017年1月25日","3,375.90","3,361.66","3,376.44","3,357.22","58.38K","0.34%"
"2017年1月24日","3,364.45","3,363.14","3,371.32","3,355.90","66.19K","0.01%"
"2017年1月23日","3,364.08","3,359.05","3,378.74","3,355.85","75.56K","0.27%"
"2017年1月20日","3,354.89","3,326.98","3,358.41","3,326.37","65.30K","0.77%"
"2017年1月19日","3,329.29","3,330.95","3,346.50","3,324.68","66.16K","-0.30%"
"2017年1月18日","3,339.37","3,323.34","3,350.96","3,320.41","70.62K","0.39%"
"2017年1月17日","3,326.36","3,305.60","3,327.38","3,292.20","69.45K","0.21%"
"2017年1月16日","3,319.45","3,314.15","3,322.78","3,264.21","157.78K","-0.01%"
"2017年1月13日","3,319.91","3,317.96","3,338.17","3,309.37","84.18K","0.07%"
"2017年1月12日","3,317.62","3,332.69","3,343.13","3,315.96","81.24K","-0.51%"
"2017年1月11日","3,334.50","3,355.80","3,366.63","3,334.30","91.07K","-0.71%"
"2017年1月10日","3,358.27","3,361.64","3,370.51","3,354.09","83.82K","-0.17%"
"2017年1月9日","3,363.90","3,345.75","3,366.22","3,344.35","83.71K","0.48%"
"2017年1月6日","3,347.67","3,366.85","3,368.87","3,346.89","87.46K","-0.60%"
"2017年1月5日","3,367.79","3,368.34","3,373.41","3,361.46","88.34K","-0.02%"
"2017年1月4日","3,368.31","3,340.56","3,369.57","3,338.15","90.05K","0.78%"
"2017年1月3日","3,342.23","3,313.95","3,345.26","3,313.95","86.57K","0.97%"
