,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2017-01-03,0.836,0.836,0.0,开放申购,开放赎回,nan
1,2017-01-04,0.839,0.839,0.36,开放申购,开放赎回,nan
2,2017-01-05,0.839,0.839,0.0,开放申购,开放赎回,nan
3,2017-01-06,0.838,0.838,-0.12,开放申购,开放赎回,nan
4,2017-01-09,0.839,0.839,0.12,开放申购,开放赎回,nan
5,2017-01-10,0.838,0.838,-0.12,开放申购,开放赎回,nan
6,2017-01-11,0.836,0.836,-0.24,开放申购,开放赎回,nan
7,2017-01-12,0.835,0.835,-0.12,开放申购,开放赎回,nan
8,2017-01-13,0.835,0.835,0.0,开放申购,开放赎回,nan
9,2017-01-16,0.83,0.83,-0.6,开放申购,开放赎回,nan
10,2017-01-17,0.829,0.829,-0.12,开放申购,开放赎回,nan
11,2017-01-18,0.828,0.828,-0.12,开放申购,开放赎回,nan
12,2017-01-19,0.828,0.828,0.0,开放申购,开放赎回,nan
13,2017-01-20,0.83,0.83,0.24,开放申购,开放赎回,nan
14,2017-01-23,0.831,0.831,0.12,开放申购,开放赎回,nan
15,2017-01-24,0.829,0.829,-0.24,开放申购,开放赎回,nan
16,2017-01-25,0.83,0.83,0.12,开放申购,开放赎回,nan
17,2017-01-26,0.831,0.831,0.12,开放申购,开放赎回,nan
18,2017-02-03,0.828,0.828,-0.36,开放申购,开放赎回,nan
19,2017-02-06,0.828,0.828,0.0,开放申购,开放赎回,nan
20,2017-02-07,0.828,0.828,0.0,开放申购,开放赎回,nan
21,2017-02-08,0.828,0.828,0.0,开放申购,开放赎回,nan
22,2017-02-09,0.829,0.829,0.12,开放申购,开放赎回,nan
23,2017-02-10,0.831,0.831,0.24,开放申购,开放赎回,nan
24,2017-02-13,0.832,0.832,0.12,开放申购,开放赎回,nan
25,2017-02-14,0.831,0.831,-0.12,开放申购,开放赎回,nan
26,2017-02-15,0.831,0.831,0.0,开放申购,开放赎回,nan
27,2017-02-16,0.83,0.83,-0.12,开放申购,开放赎回,nan
28,2017-02-17,0.829,0.829,-0.12,开放申购,开放赎回,nan
29,2017-02-20,0.831,0.831,0.24,开放申购,开放赎回,nan
30,2017-02-21,0.832,0.832,0.12,开放申购,开放赎回,nan
31,2017-02-22,0.832,0.832,0.0,开放申购,开放赎回,nan
32,2017-02-23,0.831,0.831,-0.12,开放申购,开放赎回,nan
33,2017-02-24,0.831,0.831,0.0,开放申购,开放赎回,nan
34,2017-02-27,0.829,0.829,-0.24,开放申购,开放赎回,nan
35,2017-02-28,0.829,0.829,0.0,开放申购,开放赎回,nan
36,2017-03-01,0.829,0.829,0.0,开放申购,开放赎回,nan
37,2017-03-02,0.828,0.828,-0.12,开放申购,开放赎回,nan
38,2017-03-03,0.828,0.828,0.0,开放申购,开放赎回,nan
39,2017-03-06,0.829,0.829,0.12,开放申购,开放赎回,nan
40,2017-03-07,0.829,0.829,0.0,开放申购,开放赎回,nan
