,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2018-12-25,1.0,1.0,,封闭期,封闭期,nan
1,2018-12-28,1.0,1.0,,封闭期,封闭期,nan
2,2018-12-31,1.0002,1.0002,,封闭期,封闭期,nan
3,2019-01-04,1.0001,1.0001,,封闭期,封闭期,nan
4,2019-01-11,0.9999,0.9999,,封闭期,封闭期,nan
5,2019-01-18,1.0001,1.0001,,封闭期,封闭期,nan
6,2019-01-25,1.0004,1.0004,,封闭期,封闭期,nan
7,2019-02-01,1.0002,1.0002,,封闭期,封闭期,nan
8,2019-02-15,1.0007,1.0007,,封闭期,封闭期,nan
9,2019-02-22,1.0009,1.0009,,封闭期,封闭期,nan
10,2019-02-25,1.0009,1.0009,0.0,开放申购,开放赎回,nan
11,2019-02-26,1.0031,1.0031,0.22,开放申购,开放赎回,nan
12,2019-02-27,1.0033,1.0033,0.02,开放申购,开放赎回,nan
13,2019-02-28,1.0032,1.0032,-0.01,开放申购,开放赎回,nan
14,2019-03-01,1.0036,1.0036,0.04,开放申购,开放赎回,nan
15,2019-03-04,1.0056,1.0056,0.2,开放申购,开放赎回,nan
16,2019-03-05,1.0069,1.0069,0.13,开放申购,开放赎回,nan
17,2019-03-06,1.0075,1.0075,0.06,开放申购,开放赎回,nan
18,2019-03-07,1.0072,1.0072,-0.03,开放申购,开放赎回,nan
19,2019-03-08,1.0014,1.0014,-0.58,开放申购,开放赎回,nan
20,2019-03-11,1.0071,1.0071,0.57,开放申购,开放赎回,nan
21,2019-03-12,1.0136,1.0136,0.65,开放申购,开放赎回,nan
22,2019-03-13,1.0076,1.0076,-0.59,开放申购,开放赎回,nan
23,2019-03-14,1.0025,1.0025,-0.51,开放申购,开放赎回,nan
24,2019-03-15,1.0071,1.0071,0.46,开放申购,开放赎回,nan
25,2019-03-18,1.0193,1.0193,1.21,开放申购,开放赎回,nan
26,2019-03-19,1.0261,1.0261,0.67,开放申购,开放赎回,nan
27,2019-03-20,1.0288,1.0288,0.26,开放申购,开放赎回,nan
28,2019-03-21,1.0419,1.0419,1.27,开放申购,开放赎回,nan
29,2019-03-22,1.0421,1.0421,0.02,开放申购,开放赎回,nan
30,2019-03-25,1.0178,1.0178,-2.33,开放申购,开放赎回,nan
31,2019-03-26,0.9956,0.9956,-2.18,开放申购,开放赎回,nan
32,2019-03-27,0.9982,0.9982,0.26,开放申购,开放赎回,nan
33,2019-03-28,0.995,0.995,-0.32,开放申购,开放赎回,nan
34,2019-03-29,1.0111,1.0111,1.62,开放申购,开放赎回,nan
35,2019-04-01,1.0312,1.0312,1.99,开放申购,开放赎回,nan
36,2019-04-02,1.0335,1.0335,0.22,开放申购,开放赎回,nan
37,2019-04-03,1.0349,1.0349,0.14,开放申购,开放赎回,nan
38,2019-04-04,1.0414,1.0414,0.63,开放申购,开放赎回,nan
39,2019-04-08,1.0371,1.0371,-0.41,开放申购,开放赎回,nan
40,2019-04-09,1.0355,1.0355,-0.15,开放申购,开放赎回,nan
41,2019-04-10,1.032,1.032,-0.34,开放申购,开放赎回,nan
42,2019-04-11,1.0172,1.0172,-1.43,开放申购,开放赎回,nan
43,2019-04-12,1.0145,1.0145,-0.27,开放申购,开放赎回,nan
44,2019-04-15,1.0091,1.0091,-0.53,开放申购,开放赎回,nan
45,2019-04-16,1.0109,1.0109,0.18,开放申购,开放赎回,nan
46,2019-04-17,1.0128,1.0128,0.19,开放申购,开放赎回,nan
47,2019-04-18,1.0177,1.0177,0.48,开放申购,开放赎回,nan
48,2019-04-19,1.0195,1.0195,0.18,开放申购,开放赎回,nan
49,2019-04-22,1.0059,1.0059,-1.33,开放申购,开放赎回,nan
50,2019-04-23,0.9958,0.9958,-1.0,开放申购,开放赎回,nan
51,2019-04-24,0.9922,0.9922,-0.36,开放申购,开放赎回,nan
52,2019-04-25,0.976,0.976,-1.63,开放申购,开放赎回,nan
53,2019-04-26,0.9601,0.9601,-1.63,开放申购,开放赎回,nan
54,2019-04-29,0.9591,0.9591,-0.1,开放申购,开放赎回,nan
55,2019-04-30,0.9658,0.9658,0.7,开放申购,开放赎回,nan
56,2019-05-06,0.9477,0.9477,-1.87,开放申购,开放赎回,nan
57,2019-05-07,0.9513,0.9513,0.38,开放申购,开放赎回,nan
58,2019-05-08,0.9507,0.9507,-0.06,开放申购,开放赎回,nan
59,2019-05-09,0.9498,0.9498,-0.09,开放申购,开放赎回,nan
60,2019-05-10,0.9579,0.9579,0.85,开放申购,开放赎回,nan
61,2019-05-13,0.9533,0.9533,-0.48,开放申购,开放赎回,nan
62,2019-05-14,0.9539,0.9539,0.06,开放申购,开放赎回,nan
63,2019-05-15,0.9632,0.9632,0.97,开放申购,开放赎回,nan
64,2019-05-16,0.9629,0.9629,-0.03,开放申购,开放赎回,nan
65,2019-05-17,0.9523,0.9523,-1.1,开放申购,开放赎回,nan
66,2019-05-20,0.9472,0.9472,-0.54,开放申购,开放赎回,nan
67,2019-05-21,0.9504,0.9504,0.34,开放申购,开放赎回,nan
68,2019-05-22,0.951,0.951,0.06,开放申购,开放赎回,nan
69,2019-05-23,0.9461,0.9461,-0.52,开放申购,开放赎回,nan
70,2019-05-24,0.9462,0.9462,0.01,开放申购,开放赎回,nan
71,2019-05-27,0.9458,0.9458,-0.04,开放申购,开放赎回,nan
72,2019-05-28,0.9456,0.9456,-0.02,开放申购,开放赎回,nan
73,2019-05-29,0.9453,0.9453,-0.03,开放申购,开放赎回,nan
74,2019-05-30,0.9428,0.9428,-0.26,开放申购,开放赎回,nan
75,2019-05-31,0.9433,0.9433,0.05,开放申购,开放赎回,nan
76,2019-06-03,0.9381,0.9381,-0.55,开放申购,开放赎回,nan
77,2019-06-04,0.9334,0.9334,-0.5,开放申购,开放赎回,nan
78,2019-06-05,0.9313,0.9313,-0.23,开放申购,开放赎回,nan
79,2019-06-06,0.928,0.928,-0.35,开放申购,开放赎回,nan
80,2019-06-10,0.93,0.93,0.22,开放申购,开放赎回,nan
81,2019-06-11,0.937,0.937,0.75,开放申购,开放赎回,nan
82,2019-06-12,0.9336,0.9336,-0.36,开放申购,开放赎回,nan
83,2019-06-13,0.9333,0.9333,-0.03,开放申购,开放赎回,nan
84,2019-06-14,0.9306,0.9306,-0.29,开放申购,开放赎回,nan
85,2019-06-17,0.9283,0.9283,-0.25,开放申购,开放赎回,nan
86,2019-06-18,0.9274,0.9274,-0.1,开放申购,开放赎回,nan
87,2019-06-19,0.9315,0.9315,0.44,开放申购,开放赎回,nan
88,2019-06-20,0.9405,0.9405,0.97,开放申购,开放赎回,nan
89,2019-06-21,0.9439,0.9439,0.36,开放申购,开放赎回,nan
90,2019-06-24,0.9445,0.9445,0.06,开放申购,开放赎回,nan
91,2019-06-25,0.9411,0.9411,-0.36,开放申购,开放赎回,nan
92,2019-06-26,0.9419,0.9419,0.09,开放申购,开放赎回,nan
93,2019-06-27,0.944,0.944,0.22,开放申购,开放赎回,nan
94,2019-06-28,0.944,0.944,0.0,开放申购,开放赎回,nan
95,2019-06-30,0.9439,0.9439,,开放申购,开放赎回,nan
96,2019-07-01,0.9492,0.9492,0.55,开放申购,开放赎回,nan
97,2019-07-02,0.9487,0.9487,-0.05,开放申购,开放赎回,nan
98,2019-07-03,0.9476,0.9476,-0.12,开放申购,开放赎回,nan
99,2019-07-04,0.9466,0.9466,-0.11,开放申购,开放赎回,nan
100,2019-07-05,0.9472,0.9472,0.06,开放申购,开放赎回,nan
101,2019-07-08,0.9401,0.9401,-0.75,开放申购,开放赎回,nan
102,2019-07-09,0.9408,0.9408,0.07,开放申购,开放赎回,nan
103,2019-07-10,0.9399,0.9399,-0.1,开放申购,开放赎回,nan
104,2019-07-11,0.9396,0.9396,-0.03,开放申购,开放赎回,nan
105,2019-07-12,0.9439,0.9439,0.46,开放申购,开放赎回,nan
106,2019-07-15,0.9464,0.9464,0.26,开放申购,开放赎回,nan
107,2019-07-16,0.9468,0.9468,0.04,开放申购,开放赎回,nan
108,2019-07-17,0.948,0.948,0.13,开放申购,开放赎回,nan
109,2019-07-18,0.9466,0.9466,-0.15,开放申购,开放赎回,nan
110,2019-07-19,0.9487,0.9487,0.22,开放申购,开放赎回,nan
111,2019-07-22,0.9476,0.9476,-0.12,开放申购,开放赎回,nan
112,2019-07-23,0.9487,0.9487,0.12,开放申购,开放赎回,nan
113,2019-07-24,0.9505,0.9505,0.19,开放申购,开放赎回,nan
114,2019-07-25,0.9551,0.9551,0.48,开放申购,开放赎回,nan
