,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2018-03-14,1.0,1.0,,封闭期,封闭期,nan
1,2018-03-16,1.0,1.0,,封闭期,封闭期,nan
2,2018-03-23,1.0002,1.0002,,封闭期,封闭期,nan
3,2018-03-30,1.0006,1.0006,,封闭期,封闭期,nan
4,2018-04-04,1.0008,1.0008,,封闭期,封闭期,nan
5,2018-04-13,1.0012,1.0012,,封闭期,封闭期,nan
6,2018-04-16,1.0013,1.0013,0.01,开放申购,开放赎回,nan
7,2018-04-17,1.003,1.003,0.17,开放申购,开放赎回,nan
8,2018-04-18,1.004,1.004,0.1,开放申购,开放赎回,nan
9,2018-04-19,1.0044,1.0044,0.04,开放申购,开放赎回,nan
10,2018-04-20,1.0049,1.0049,0.05,开放申购,开放赎回,nan
11,2018-04-23,1.005,1.005,0.01,开放申购,开放赎回,nan
12,2018-04-24,1.0056,1.0056,0.06,开放申购,开放赎回,nan
13,2018-04-25,1.0058,1.0058,0.02,开放申购,开放赎回,nan
14,2018-04-26,1.005,1.005,-0.08,开放申购,开放赎回,nan
15,2018-04-27,1.0057,1.0057,0.07,开放申购,开放赎回,nan
16,2018-05-02,1.0059,1.0059,0.02,开放申购,开放赎回,nan
17,2018-05-03,1.0065,1.0065,0.06,开放申购,开放赎回,nan
18,2018-05-04,1.0069,1.0069,0.04,开放申购,开放赎回,nan
19,2018-05-07,1.0079,1.0079,0.1,开放申购,开放赎回,nan
20,2018-05-08,1.008,1.008,0.01,开放申购,开放赎回,nan
21,2018-05-09,1.0081,1.0081,0.01,开放申购,开放赎回,nan
22,2018-05-10,1.0079,1.0079,-0.02,开放申购,开放赎回,nan
23,2018-05-11,1.0078,1.0078,-0.01,开放申购,开放赎回,nan
24,2018-05-14,1.0076,1.0076,-0.02,开放申购,开放赎回,nan
25,2018-05-15,1.008,1.008,0.04,开放申购,开放赎回,nan
26,2018-05-16,1.0074,1.0074,-0.06,开放申购,开放赎回,nan
27,2018-05-17,1.0075,1.0075,0.01,开放申购,开放赎回,nan
28,2018-05-18,1.0077,1.0077,0.02,开放申购,开放赎回,nan
29,2018-05-21,1.0074,1.0074,-0.03,开放申购,开放赎回,nan
30,2018-05-22,1.006,1.006,-0.14,开放申购,开放赎回,nan
31,2018-05-23,1.0043,1.0043,-0.17,开放申购,开放赎回,nan
32,2018-05-24,1.0039,1.0039,-0.04,开放申购,开放赎回,nan
33,2018-05-25,1.0024,1.0024,-0.15,开放申购,开放赎回,nan
34,2018-05-28,1.0023,1.0023,-0.01,开放申购,开放赎回,nan
35,2018-05-29,1.0005,1.0005,-0.18,开放申购,开放赎回,nan
36,2018-05-30,0.9972,0.9972,-0.33,开放申购,开放赎回,nan
37,2018-05-31,0.9983,0.9983,0.11,开放申购,开放赎回,nan
38,2018-06-01,0.996,0.996,-0.23,开放申购,开放赎回,nan
39,2018-06-04,0.9915,0.9915,-0.45,开放申购,开放赎回,nan
40,2018-06-05,0.9944,0.9944,0.29,开放申购,开放赎回,nan
41,2018-06-06,0.9955,0.9955,0.11,开放申购,开放赎回,nan
42,2018-06-07,0.9963,0.9963,0.08,开放申购,开放赎回,nan
43,2018-06-08,0.9936,0.9936,-0.27,开放申购,开放赎回,nan
44,2018-06-11,0.9932,0.9932,-0.04,开放申购,开放赎回,nan
45,2018-06-12,0.9941,0.9941,0.09,开放申购,开放赎回,nan
46,2018-06-13,0.9931,0.9931,-0.1,开放申购,开放赎回,nan
47,2018-06-14,0.9911,0.9911,-0.2,开放申购,开放赎回,nan
48,2018-06-15,0.9874,0.9874,-0.37,开放申购,开放赎回,nan
