"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2021年8月9日","3,494.63","3,441.75","3,502.84","3,438.70","34.99B","1.05%"
"2021年8月6日","3,458.23","3,465.48","3,466.39","3,436.93","33.68B","-0.24%"
"2021年8月5日","3,466.55","3,461.72","3,486.16","3,449.39","34.84B","-0.31%"
"2021年8月4日","3,477.22","3,442.94","3,477.60","3,440.78","34.87B","0.85%"
"2021年8月3日","3,447.99","3,446.78","3,470.66","3,435.46","40.07B","-0.47%"
"2021年8月2日","3,464.29","3,385.69","3,464.29","3,367.64","43.29B","1.97%"
"2021年7月30日","3,397.36","3,398.20","3,404.88","3,370.45","38.14B","-0.42%"
"2021年7月29日","3,411.72","3,403.84","3,416.61","3,382.57","34.46B","1.49%"
"2021年7月28日","3,361.59","3,355.82","3,385.54","3,312.72","39.58B","-0.58%"
"2021年7月27日","3,381.18","3,467.45","3,483.87","3,380.28","46.91B","-2.49%"
"2021年7月26日","3,467.44","3,538.01","3,538.01","3,424.74","44.29B","-2.34%"
"2021年7月23日","3,550.40","3,571.72","3,571.85","3,541.51","44.64B","-0.68%"
"2021年7月22日","3,574.73","3,563.66","3,576.47","3,558.29","38.11B","0.34%"
"2021年7月21日","3,562.66","3,543.05","3,569.09","3,543.05","33.90B","0.73%"
"2021年7月20日","3,536.79","3,515.07","3,538.64","3,509.19","29.38B","-0.07%"
"2021年7月19日","3,539.12","3,530.49","3,544.88","3,506.34","33.68B","-0.01%"
"2021年7月16日","3,539.30","3,559.53","3,566.00","3,537.73","36.60B","-0.71%"
"2021年7月15日","3,564.59","3,519.06","3,565.93","3,514.26","36.33B","1.02%"
"2021年7月14日","3,528.50","3,560.83","3,560.83","3,525.49","37.22B","-1.07%"
"2021年7月13日","3,566.52","3,547.59","3,567.48","3,542.82","36.24B","0.53%"
"2021年7月12日","3,547.84","3,545.20","3,565.03","3,527.39","40.36B","0.67%"
"2021年7月9日","3,524.09","3,512.23","3,529.31","3,485.05","34.99B","-0.04%"
"2021年7月8日","3,525.50","3,557.22","3,558.68","3,521.06","35.09B","-0.79%"
"2021年7月7日","3,553.72","3,508.59","3,557.88","3,504.47","31.88B","0.66%"
"2021年7月6日","3,530.26","3,533.13","3,538.35","3,496.93","31.41B","-0.11%"
"2021年7月5日","3,534.32","3,516.92","3,534.32","3,510.58","28.81B","0.44%"
"2021年7月2日","3,518.76","3,569.89","3,569.89","3,514.34","29.19B","-1.95%"
"2021年7月1日","3,588.78","3,600.55","3,607.70","3,573.94","29.19B","-0.07%"
"2021年6月30日","3,591.20","3,572.62","3,594.12","3,569.50","26.82B","0.50%"
"2021年6月29日","3,573.18","3,601.68","3,601.83","3,570.53","30.61B","-0.92%"
"2021年6月28日","3,606.37","3,612.25","3,614.36","3,594.22","32.13B","-0.03%"
"2021年6月25日","3,607.56","3,567.38","3,614.30","3,564.52","34.61B","1.15%"
"2021年6月24日","3,566.65","3,568.58","3,570.49","3,548.82","33.54B","0.01%"
"2021年6月23日","3,566.22","3,559.40","3,577.47","3,549.85","31.07B","0.25%"
"2021年6月22日","3,557.41","3,539.79","3,560.19","3,536.81","30.75B","0.80%"
"2021年6月21日","3,529.18","3,515.50","3,540.30","3,504.01","28.09B","0.12%"
"2021年6月18日","3,525.10","3,520.50","3,535.62","3,503.18","29.67B","-0.01%"
"2021年6月17日","3,525.60","3,508.32","3,534.20","3,507.35","27.72B","0.21%"
"2021年6月16日","3,518.33","3,556.71","3,561.09","3,513.56","31.26B","-1.07%"
"2021年6月15日","3,556.56","3,587.47","3,592.95","3,547.19","34.92B","-0.92%"
"2021年6月11日","3,589.75","3,614.11","3,614.40","3,587.15","36.06B","-0.58%"
"2021年6月10日","3,610.86","3,587.53","3,624.34","3,584.13","31.82B","0.54%"
"2021年6月9日","3,591.40","3,576.80","3,598.71","3,572.64","29.83B","0.32%"
"2021年6月8日","3,580.11","3,598.75","3,621.52","3,563.25","30.45B","-0.54%"
"2021年6月7日","3,599.54","3,597.14","3,600.38","3,581.90","30.37B","0.21%"
"2021年6月4日","3,591.84","3,565.47","3,618.80","3,561.89","33.09B","0.21%"
"2021年6月3日","3,584.21","3,595.42","3,618.51","3,584.21","35.42B","-0.36%"
"2021年6月2日","3,597.14","3,626.33","3,629.29","3,584.60","34.86B","-0.76%"
"2021年6月1日","3,624.71","3,608.60","3,626.07","3,581.91","35.28B","0.26%"
"2021年5月31日","3,615.48","3,600.07","3,615.66","3,580.65","33.15B","0.41%"
"2021年5月28日","3,600.78","3,610.77","3,622.18","3,582.36","34.92B","-0.22%"
"2021年5月27日","3,608.85","3,585.73","3,626.36","3,579.26","30.96B","0.43%"
"2021年5月26日","3,593.36","3,586.84","3,603.49","3,585.37","34.20B","0.34%"
"2021年5月25日","3,581.34","3,502.54","3,584.58","3,502.44","34.12B","2.40%"
"2021年5月24日","3,497.28","3,486.27","3,498.30","3,469.87","28.95B","0.31%"
"2021年5月21日","3,486.56","3,510.84","3,518.38","3,479.67","28.38B","-0.58%"
"2021年5月20日","3,506.94","3,500.88","3,517.74","3,486.07","32.60B","-0.11%"
"2021年5月19日","3,510.96","3,521.11","3,521.11","3,503.82","27.83B","-0.51%"
"2021年5月18日","3,529.01","3,520.65","3,529.01","3,510.86","27.13B","0.32%"
"2021年5月17日","3,517.62","3,490.41","3,530.51","3,490.14","32.21B","0.78%"
"2021年5月14日","3,490.38","3,436.09","3,490.64","3,422.56","33.70B","1.77%"
"2021年5月13日","3,429.54","3,432.14","3,448.02","3,418.38","31.93B","-0.96%"
"2021年5月12日","3,462.75","3,429.75","3,466.37","3,428.39","31.14B","0.61%"
"2021年5月11日","3,441.85","3,406.60","3,448.10","3,384.70","35.09B","0.40%"
"2021年5月10日","3,427.99","3,423.59","3,429.74","3,401.93","37.42B","0.27%"
"2021年5月7日","3,418.87","3,446.41","3,457.89","3,416.78","35.38B","-0.65%"
"2021年5月6日","3,441.28","3,446.07","3,471.24","3,426.85","31.04B","-0.16%"
"2021年4月30日","3,446.86","3,468.30","3,469.09","3,426.90","31.27B","-0.81%"
"2021年4月29日","3,474.90","3,458.08","3,478.23","3,447.59","27.66B","0.52%"
"2021年4月28日","3,457.07","3,432.16","3,457.07","3,423.32","24.74B","0.42%"
"2021年4月27日","3,442.61","3,440.09","3,443.85","3,417.26","25.30B","0.04%"
"2021年4月26日","3,441.17","3,484.11","3,497.12","3,438.57","27.70B","-0.95%"
"2021年4月23日","3,474.17","3,462.09","3,482.36","3,456.33","24.94B","0.26%"
"2021年4月22日","3,465.11","3,482.83","3,485.36","3,456.32","25.11B","-0.23%"
"2021年4月21日","3,472.93","3,456.30","3,481.25","3,450.11","25.38B","-0.00%"
"2021年4月20日","3,472.94","3,467.15","3,494.30","3,463.46","28.53B","-0.13%"
"2021年4月19日","3,477.55","3,427.55","3,479.01","3,414.36","30.27B","1.49%"
"2021年4月16日","3,426.62","3,407.19","3,432.63","3,394.13","25.86B","0.81%"
"2021年4月15日","3,398.99","3,409.61","3,409.61","3,373.09","23.40B","-0.52%"
"2021年4月14日","3,416.72","3,397.02","3,420.03","3,392.98","23.32B","0.60%"
"2021年4月13日","3,396.47","3,411.29","3,425.39","3,387.90","27.06B","-0.48%"
"2021年4月12日","3,412.95","3,445.97","3,456.16","3,403.90","30.96B","-1.09%"
"2021年4月9日","3,450.68","3,475.44","3,475.45","3,442.14","28.01B","-0.92%"
"2021年4月8日","3,482.55","3,467.49","3,495.91","3,459.32","33.18B","0.08%"
"2021年4月7日","3,479.63","3,483.42","3,483.42","3,453.19","29.58B","-0.10%"
"2021年4月6日","3,482.97","3,491.63","3,493.28","3,471.76","23.47B","-0.04%"
"2021年4月2日","3,484.39","3,472.63","3,487.59","3,462.83","26.27B","0.52%"
"2021年4月1日","3,466.33","3,444.81","3,470.03","3,438.83","27.52B","0.71%"
"2021年3月31日","3,441.91","3,452.21","3,452.21","3,420.83","28.30B","-0.43%"
"2021年3月30日","3,456.68","3,432.53","3,457.63","3,423.32","28.54B","0.62%"
"2021年3月29日","3,435.30","3,429.63","3,449.83","3,409.89","28.48B","0.50%"
"2021年3月26日","3,418.33","3,373.32","3,423.22","3,373.32","27.46B","1.63%"
"2021年3月25日","3,363.59","3,355.07","3,382.23","3,344.97","27.07B","-0.10%"
"2021年3月24日","3,367.06","3,394.13","3,415.29","3,362.18","31.74B","-1.30%"
"2021年3月23日","3,411.51","3,445.34","3,445.42","3,390.05","32.64B","-0.93%"
"2021年3月22日","3,443.44","3,406.12","3,443.66","3,404.23","31.26B","1.14%"
"2021年3月19日","3,404.66","3,423.87","3,439.52","3,389.29","30.92B","-1.69%"
"2021年3月18日","3,463.07","3,449.64","3,478.14","3,449.38","28.44B","0.51%"
"2021年3月17日","3,445.55","3,435.73","3,454.06","3,410.28","28.01B","-0.03%"
"2021年3月16日","3,446.73","3,424.65","3,448.88","3,406.17","31.67B","0.78%"
"2021年3月15日","3,419.95","3,441.88","3,457.49","3,392.51","36.78B","-0.96%"
"2021年3月12日","3,453.08","3,447.20","3,454.51","3,417.24","35.80B","0.47%"
"2021年3月11日","3,436.83","3,369.90","3,436.83","3,369.90","32.21B","2.36%"
