,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2018-01-12,1.0,1.0,,封闭期,封闭期,nan
1,2018-01-19,1.0,1.0,,封闭期,封闭期,nan
2,2018-01-26,1.002,1.002,,封闭期,封闭期,nan
3,2018-02-02,1.0003,1.0003,,封闭期,封闭期,nan
4,2018-02-09,0.9906,0.9906,,封闭期,封闭期,nan
5,2018-02-14,1.0036,1.0036,,封闭期,封闭期,nan
6,2018-02-23,1.0075,1.0075,,封闭期,封闭期,nan
7,2018-03-02,1.0132,1.0132,,封闭期,封闭期,nan
8,2018-03-05,1.0129,1.0129,-0.03,开放申购,开放赎回,nan
9,2018-03-06,1.014,1.014,0.11,开放申购,开放赎回,nan
10,2018-03-07,1.0128,1.0128,-0.12,开放申购,开放赎回,nan
11,2018-03-08,1.0133,1.0133,0.05,开放申购,开放赎回,nan
12,2018-03-09,1.0204,1.0204,0.7,开放申购,开放赎回,nan
13,2018-03-12,1.025,1.025,0.45,开放申购,开放赎回,nan
14,2018-03-13,1.0239,1.0239,-0.11,开放申购,开放赎回,nan
15,2018-03-14,1.0182,1.0182,-0.56,开放申购,开放赎回,nan
16,2018-03-15,1.017,1.017,-0.12,开放申购,开放赎回,nan
17,2018-03-16,1.0137,1.0137,-0.32,开放申购,开放赎回,nan
18,2018-03-19,1.0201,1.0201,0.63,开放申购,开放赎回,nan
19,2018-03-20,1.0192,1.0192,-0.09,开放申购,开放赎回,nan
20,2018-03-21,1.0147,1.0147,-0.44,开放申购,开放赎回,nan
21,2018-03-22,1.0131,1.0131,-0.16,开放申购,开放赎回,nan
22,2018-03-23,1.0063,1.0063,-0.67,开放申购,开放赎回,nan
23,2018-03-26,1.0289,1.0289,2.25,开放申购,开放赎回,nan
24,2018-03-27,1.0471,1.0471,1.77,开放申购,开放赎回,nan
25,2018-03-28,1.0419,1.0419,-0.5,开放申购,开放赎回,nan
26,2018-03-29,1.0475,1.0475,0.54,开放申购,开放赎回,nan
27,2018-03-30,1.0624,1.0624,1.42,开放申购,开放赎回,nan
28,2018-04-02,1.0642,1.0642,0.17,开放申购,开放赎回,nan
29,2018-04-03,1.0573,1.0573,-0.65,开放申购,开放赎回,nan
30,2018-04-04,1.0494,1.0494,-0.75,开放申购,开放赎回,nan
31,2018-04-09,1.0533,1.0533,0.37,开放申购,开放赎回,nan
32,2018-04-10,1.0551,1.0551,0.17,开放申购,开放赎回,nan
33,2018-04-11,1.0598,1.0598,0.45,开放申购,开放赎回,nan
34,2018-04-12,1.0565,1.0565,-0.31,开放申购,开放赎回,nan
35,2018-04-13,1.056,1.056,-0.05,开放申购,开放赎回,nan
36,2018-04-16,1.0602,1.0602,0.4,开放申购,开放赎回,nan
37,2018-04-17,1.0413,1.0413,-1.78,开放申购,开放赎回,nan
38,2018-04-18,1.0543,1.0543,1.25,开放申购,开放赎回,nan
39,2018-04-19,1.057,1.057,0.26,开放申购,开放赎回,nan
40,2018-04-20,1.0428,1.0428,-1.34,开放申购,开放赎回,nan
41,2018-04-23,1.0326,1.0326,-0.98,开放申购,开放赎回,nan
42,2018-04-24,1.0533,1.0533,2.0,开放申购,开放赎回,nan
43,2018-04-25,1.0611,1.0611,0.74,开放申购,开放赎回,nan
44,2018-04-26,1.0468,1.0468,-1.35,开放申购,开放赎回,nan
45,2018-04-27,1.0533,1.0533,0.62,开放申购,开放赎回,nan
46,2018-05-02,1.0512,1.0512,-0.2,开放申购,开放赎回,nan
47,2018-05-03,1.0578,1.0578,0.63,开放申购,开放赎回,nan
48,2018-05-04,1.0656,1.0656,0.74,开放申购,开放赎回,nan
49,2018-05-07,1.0943,1.0943,2.69,开放申购,开放赎回,nan
50,2018-05-08,1.0937,1.0937,-0.05,开放申购,开放赎回,nan
51,2018-05-09,1.0922,1.0922,-0.14,开放申购,开放赎回,nan
52,2018-05-10,1.0958,1.0958,0.33,开放申购,开放赎回,nan
53,2018-05-11,1.0809,1.0809,-1.36,开放申购,开放赎回,nan
54,2018-05-14,1.0814,1.0814,0.05,开放申购,开放赎回,nan
55,2018-05-15,1.1007,1.1007,1.78,开放申购,开放赎回,nan
56,2018-05-16,1.0944,1.0944,-0.57,开放申购,开放赎回,nan
57,2018-05-17,1.0875,1.0875,-0.63,开放申购,开放赎回,nan
58,2018-05-18,1.0939,1.0939,0.59,开放申购,开放赎回,nan
59,2018-05-21,1.1081,1.1081,1.3,开放申购,开放赎回,nan
60,2018-05-22,1.1108,1.1108,0.24,开放申购,开放赎回,nan
61,2018-05-23,1.1053,1.1053,-0.5,开放申购,开放赎回,nan
62,2018-05-24,1.0989,1.0989,-0.58,开放申购,开放赎回,nan
63,2018-05-25,1.0989,1.0989,0.0,开放申购,开放赎回,nan
64,2018-05-28,1.1007,1.1007,0.16,开放申购,开放赎回,nan
65,2018-05-29,1.0916,1.0916,-0.83,开放申购,开放赎回,nan
66,2018-05-30,1.0815,1.0815,-0.93,开放申购,开放赎回,nan
67,2018-05-31,1.0962,1.0962,1.36,开放申购,开放赎回,nan
68,2018-06-01,1.0719,1.0719,-2.22,开放申购,开放赎回,nan
69,2018-06-04,1.072,1.072,0.01,开放申购,开放赎回,nan
