,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2019-04-03,1.0,1.0,,封闭期,封闭期,nan
1,2019-04-04,1.0013,1.0013,0.13,封闭期,封闭期,nan
2,2019-04-12,0.9975,0.9975,,封闭期,封闭期,nan
3,2019-04-19,1.0101,1.0101,,封闭期,封闭期,nan
4,2019-04-26,0.9785,0.9785,,封闭期,封闭期,nan
5,2019-04-30,0.9689,0.9689,,封闭期,封闭期,nan
6,2019-05-07,0.9346,0.9346,,封闭期,封闭期,nan
7,2019-05-08,0.93,0.93,-0.49,开放申购,开放赎回,nan
8,2019-05-09,0.9213,0.9213,-0.94,开放申购,开放赎回,nan
9,2019-05-10,0.9458,0.9458,2.66,开放申购,开放赎回,nan
10,2019-05-13,0.9335,0.9335,-1.3,开放申购,开放赎回,nan
11,2019-05-14,0.9329,0.9329,-0.06,开放申购,开放赎回,nan
12,2019-05-15,0.9462,0.9462,1.43,开放申购,开放赎回,nan
13,2019-05-16,0.9547,0.9547,0.9,开放申购,开放赎回,nan
14,2019-05-17,0.931,0.931,-2.48,开放申购,开放赎回,nan
15,2019-05-20,0.9297,0.9297,-0.14,开放申购,开放赎回,nan
16,2019-05-21,0.9432,0.9432,1.45,开放申购,开放赎回,nan
17,2019-05-22,0.9389,0.9389,-0.46,开放申购,开放赎回,nan
18,2019-05-23,0.9141,0.9141,-2.64,开放申购,开放赎回,nan
19,2019-05-24,0.9059,0.9059,-0.9,开放申购,开放赎回,nan
20,2019-05-27,0.9337,0.9337,3.07,开放申购,开放赎回,nan
21,2019-05-28,0.9292,0.9292,-0.48,开放申购,开放赎回,nan
22,2019-05-29,0.9309,0.9309,0.18,开放申购,开放赎回,nan
23,2019-05-30,0.9224,0.9224,-0.91,开放申购,开放赎回,nan
24,2019-05-31,0.9231,0.9231,0.08,开放申购,开放赎回,nan
25,2019-06-03,0.9099,0.9099,-1.43,开放申购,开放赎回,nan
26,2019-06-04,0.9009,0.9009,-0.99,开放申购,开放赎回,nan
27,2019-06-05,0.8977,0.8977,-0.36,开放申购,开放赎回,nan
28,2019-06-06,0.8774,0.8774,-2.26,开放申购,开放赎回,nan
29,2019-06-10,0.8885,0.8885,1.27,开放申购,开放赎回,nan
30,2019-06-11,0.9173,0.9173,3.24,开放申购,开放赎回,nan
31,2019-06-12,0.9091,0.9091,-0.89,开放申购,开放赎回,nan
32,2019-06-13,0.9143,0.9143,0.57,开放申购,开放赎回,nan
33,2019-06-14,0.8954,0.8954,-2.07,开放申购,开放赎回,nan
34,2019-06-17,0.8932,0.8932,-0.25,开放申购,开放赎回,nan
35,2019-06-18,0.8965,0.8965,0.37,开放申购,开放赎回,nan
36,2019-06-19,0.9074,0.9074,1.22,开放申购,开放赎回,nan
37,2019-06-20,0.924,0.924,1.83,开放申购,开放赎回,nan
38,2019-06-21,0.9423,0.9423,1.98,开放申购,开放赎回,nan
39,2019-06-24,0.9405,0.9405,-0.19,开放申购,开放赎回,nan
40,2019-06-25,0.9293,0.9293,-1.19,开放申购,开放赎回,nan
41,2019-06-26,0.9311,0.9311,0.19,开放申购,开放赎回,nan
42,2019-06-27,0.9372,0.9372,0.66,开放申购,开放赎回,nan
43,2019-06-28,0.9275,0.9275,-1.04,开放申购,开放赎回,nan
44,2019-06-30,0.9274,0.9274,,开放申购,开放赎回,nan
45,2019-07-01,0.9544,0.9544,2.9,开放申购,开放赎回,nan
