,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2017-01-03,0.992,0.992,1.22,开放申购,开放赎回,nan
1,2017-01-04,1.008,1.008,1.61,开放申购,开放赎回,nan
2,2017-01-05,1.014,1.014,0.6,开放申购,开放赎回,nan
3,2017-01-06,1.007,1.007,-0.69,开放申购,开放赎回,nan
4,2017-01-09,1.012,1.012,0.5,开放申购,开放赎回,nan
5,2017-01-10,1.013,1.013,0.1,开放申购,开放赎回,nan
6,2017-01-11,1.004,1.004,-0.89,开放申购,开放赎回,nan
7,2017-01-12,0.998,0.998,-0.6,开放申购,开放赎回,nan
8,2017-01-13,0.985,0.985,-1.3,开放申购,开放赎回,nan
9,2017-01-16,0.975,0.975,-1.02,开放申购,开放赎回,nan
10,2017-01-17,0.978,0.978,0.31,开放申购,开放赎回,nan
11,2017-01-18,0.984,0.984,0.61,开放申购,开放赎回,nan
12,2017-01-19,0.982,0.982,-0.2,开放申购,开放赎回,nan
13,2017-01-20,0.987,0.987,0.51,开放申购,开放赎回,nan
14,2017-01-23,0.993,0.993,0.61,开放申购,开放赎回,nan
15,2017-01-24,0.992,0.992,-0.1,开放申购,开放赎回,nan
16,2017-01-25,0.996,0.996,0.4,开放申购,开放赎回,nan
17,2017-01-26,1.012,1.012,1.61,开放申购,开放赎回,nan
18,2017-02-03,1.004,1.004,-0.79,开放申购,开放赎回,nan
19,2017-02-06,1.005,1.005,0.1,开放申购,开放赎回,nan
20,2017-02-07,1.006,1.006,0.1,开放申购,开放赎回,nan
21,2017-02-08,1.013,1.013,0.7,开放申购,开放赎回,nan
22,2017-02-09,1.009,1.009,-0.39,开放申购,开放赎回,nan
23,2017-02-10,1.012,1.012,0.3,开放申购,开放赎回,nan
24,2017-02-13,1.022,1.022,0.99,开放申购,开放赎回,nan
25,2017-02-14,1.025,1.025,0.29,开放申购,开放赎回,nan
26,2017-02-15,1.013,1.013,-1.17,开放申购,开放赎回,nan
27,2017-02-16,1.015,1.015,0.2,开放申购,开放赎回,nan
28,2017-02-17,1.009,1.009,-0.59,开放申购,开放赎回,nan
29,2017-02-20,1.025,1.025,1.59,开放申购,开放赎回,nan
30,2017-02-21,1.025,1.025,0.0,开放申购,开放赎回,nan
31,2017-02-22,1.029,1.029,0.39,开放申购,开放赎回,nan
32,2017-02-23,1.026,1.026,-0.29,开放申购,开放赎回,nan
33,2017-02-24,1.024,1.024,-0.19,开放申购,开放赎回,nan
34,2017-02-27,1.017,1.017,-0.68,开放申购,开放赎回,nan
35,2017-02-28,1.022,1.022,0.49,开放申购,开放赎回,nan
36,2017-03-01,1.024,1.024,0.2,开放申购,开放赎回,nan
37,2017-03-02,1.023,1.023,-0.1,开放申购,开放赎回,nan
