,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2017-01-03,1.002,1.002,0.7,开放申购,开放赎回,nan
1,2017-01-04,1.01,1.01,0.8,开放申购,开放赎回,nan
2,2017-01-05,1.01,1.01,0.0,开放申购,开放赎回,nan
3,2017-01-06,1.005,1.005,-0.5,开放申购,开放赎回,nan
4,2017-01-09,1.012,1.012,0.7,开放申购,开放赎回,nan
5,2017-01-10,1.008,1.008,-0.4,开放申购,开放赎回,nan
6,2017-01-11,1.006,1.006,-0.2,开放申购,开放赎回,nan
7,2017-01-12,0.999,0.999,-0.7,开放申购,开放赎回,nan
8,2017-01-13,0.996,0.996,-0.3,开放申购,开放赎回,nan
9,2017-01-16,0.989,0.989,-0.7,开放申购,开放赎回,nan
10,2017-01-17,1.008,1.008,1.92,开放申购,开放赎回,nan
11,2017-01-18,1.005,1.005,-0.3,开放申购,开放赎回,nan
12,2017-01-19,0.995,0.995,-1.0,开放申购,开放赎回,nan
13,2017-01-20,1.008,1.008,1.31,开放申购,开放赎回,nan
14,2017-01-23,1.017,1.017,0.89,开放申购,开放赎回,nan
15,2017-01-24,1.012,1.012,-0.49,开放申购,开放赎回,nan
16,2017-01-25,1.015,1.015,0.3,开放申购,开放赎回,nan
17,2017-01-26,1.022,1.022,0.69,开放申购,开放赎回,nan
18,2017-02-03,1.028,1.028,0.59,开放申购,开放赎回,nan
19,2017-02-06,1.037,1.037,0.88,开放申购,开放赎回,nan
20,2017-02-07,1.03,1.03,-0.68,开放申购,开放赎回,nan
21,2017-02-08,1.047,1.047,1.65,开放申购,开放赎回,nan
22,2017-02-09,1.048,1.048,0.1,开放申购,开放赎回,nan
23,2017-02-10,1.04,1.04,-0.76,开放申购,开放赎回,nan
24,2017-02-13,1.044,1.044,0.38,开放申购,开放赎回,nan
25,2017-02-14,1.04,1.04,-0.38,开放申购,开放赎回,nan
26,2017-02-15,1.024,1.024,-1.54,开放申购,开放赎回,nan
27,2017-02-16,1.029,1.029,0.49,开放申购,开放赎回,nan
28,2017-02-17,1.033,1.033,0.39,开放申购,开放赎回,nan
29,2017-02-20,1.041,1.041,0.77,开放申购,开放赎回,nan
30,2017-02-21,1.046,1.046,0.48,开放申购,开放赎回,nan
31,2017-02-22,1.04,1.04,-0.57,开放申购,开放赎回,nan
32,2017-02-23,1.025,1.025,-1.44,开放申购,开放赎回,nan
33,2017-02-24,1.032,1.032,0.68,开放申购,开放赎回,nan
34,2017-02-27,1.022,1.022,-0.97,开放申购,开放赎回,nan
