,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2017-01-03,1.036,1.036,0.58,开放申购,开放赎回,nan
1,2017-01-04,1.042,1.042,0.58,开放申购,开放赎回,nan
2,2017-01-05,1.044,1.044,0.19,开放申购,开放赎回,nan
3,2017-01-06,1.037,1.037,-0.67,开放申购,开放赎回,nan
4,2017-01-09,1.041,1.041,0.39,开放申购,开放赎回,nan
5,2017-01-10,1.044,1.044,0.29,开放申购,开放赎回,nan
6,2017-01-11,1.041,1.041,-0.29,开放申购,开放赎回,nan
7,2017-01-12,1.037,1.037,-0.38,开放申购,开放赎回,nan
8,2017-01-13,1.039,1.039,0.19,开放申购,开放赎回,nan
9,2017-01-16,1.036,1.036,-0.29,开放申购,开放赎回,nan
10,2017-01-17,1.046,1.046,0.97,开放申购,开放赎回,nan
11,2017-01-18,1.051,1.051,0.48,开放申购,开放赎回,nan
12,2017-01-19,1.051,1.051,0.0,开放申购,开放赎回,nan
13,2017-01-20,1.056,1.056,0.48,开放申购,开放赎回,nan
14,2017-01-23,1.057,1.057,0.09,开放申购,开放赎回,nan
15,2017-01-24,1.057,1.057,0.0,开放申购,开放赎回,nan
16,2017-01-25,1.065,1.065,0.76,暂停申购,暂停赎回,nan
17,2017-01-26,1.067,1.067,0.19,暂停申购,暂停赎回,nan
18,2017-02-03,1.071,1.071,0.37,开放申购,开放赎回,nan
19,2017-02-06,1.075,1.075,0.37,开放申购,开放赎回,nan
20,2017-02-07,1.072,1.072,-0.28,开放申购,开放赎回,nan
21,2017-02-08,1.078,1.078,0.56,开放申购,开放赎回,nan
22,2017-02-09,1.076,1.076,-0.19,开放申购,开放赎回,nan
23,2017-02-10,1.078,1.078,0.19,开放申购,开放赎回,nan
24,2017-02-13,1.094,1.094,1.48,限制大额申购,开放赎回,nan
25,2017-02-14,1.092,1.092,-0.18,限制大额申购,开放赎回,nan
26,2017-02-15,1.089,1.089,-0.27,限制大额申购,开放赎回,nan
27,2017-02-16,1.093,1.093,0.37,限制大额申购,开放赎回,nan
28,2017-02-17,1.092,1.092,-0.09,限制大额申购,开放赎回,nan
29,2017-02-20,1.106,1.106,1.28,限制大额申购,开放赎回,nan
30,2017-02-21,1.106,1.106,0.0,限制大额申购,开放赎回,nan
31,2017-02-22,1.111,1.111,0.45,限制大额申购,开放赎回,nan
32,2017-02-23,1.109,1.109,-0.18,限制大额申购,开放赎回,nan
33,2017-02-24,1.103,1.103,-0.54,限制大额申购,开放赎回,nan
34,2017-02-27,1.096,1.096,-0.63,限制大额申购,开放赎回,nan
35,2017-02-28,1.096,1.096,0.0,限制大额申购,开放赎回,nan
36,2017-03-01,1.1,1.1,0.37,限制大额申购,开放赎回,nan
37,2017-03-02,1.096,1.096,-0.36,限制大额申购,开放赎回,nan
38,2017-03-03,1.101,1.101,0.46,限制大额申购,开放赎回,nan
39,2017-03-06,1.108,1.108,0.64,限制大额申购,开放赎回,nan
40,2017-03-07,1.114,1.114,0.54,限制大额申购,开放赎回,nan
41,2017-03-08,1.117,1.117,0.27,限制大额申购,开放赎回,nan
42,2017-03-09,1.11,1.11,-0.63,限制大额申购,开放赎回,nan
43,2017-03-10,1.119,1.119,0.81,限制大额申购,开放赎回,nan
44,2017-03-13,1.131,1.131,1.07,限制大额申购,开放赎回,nan
45,2017-03-14,1.13,1.13,-0.09,限制大额申购,开放赎回,nan
46,2017-03-15,1.132,1.132,0.18,限制大额申购,开放赎回,nan
47,2017-03-16,1.138,1.138,0.53,限制大额申购,开放赎回,nan
48,2017-03-17,1.128,1.128,-0.88,限制大额申购,开放赎回,nan
49,2017-03-20,1.136,1.136,0.71,限制大额申购,开放赎回,nan
50,2017-03-21,1.147,1.147,0.97,限制大额申购,开放赎回,nan
51,2017-03-22,1.151,1.151,0.35,限制大额申购,开放赎回,nan
52,2017-03-23,1.153,1.153,0.17,限制大额申购,开放赎回,nan
53,2017-03-24,1.165,1.165,1.04,限制大额申购,开放赎回,nan
54,2017-03-27,1.155,1.155,-0.86,限制大额申购,开放赎回,nan
55,2017-03-28,1.156,1.156,0.09,限制大额申购,开放赎回,nan
56,2017-03-29,1.151,1.151,-0.43,限制大额申购,开放赎回,nan
57,2017-03-30,1.141,1.141,-0.87,暂停申购,暂停赎回,nan
58,2017-03-31,1.149,1.149,0.7,暂停申购,暂停赎回,nan
59,2017-04-05,1.156,1.156,0.61,限制大额申购,开放赎回,nan
60,2017-04-06,1.158,1.158,0.17,限制大额申购,开放赎回,nan
61,2017-04-07,1.157,1.157,-0.09,限制大额申购,开放赎回,nan
62,2017-04-10,1.147,1.147,-0.86,限制大额申购,开放赎回,nan
63,2017-04-11,1.142,1.142,-0.44,限制大额申购,开放赎回,nan
64,2017-04-12,1.146,1.146,0.35,限制大额申购,开放赎回,nan
65,2017-04-13,1.15,1.15,0.35,限制大额申购,开放赎回,nan
66,2017-04-14,1.145,1.145,-0.43,暂停申购,暂停赎回,nan
67,2017-04-17,1.15,1.15,0.44,暂停申购,暂停赎回,nan
68,2017-04-18,1.159,1.159,0.78,限制大额申购,开放赎回,nan
69,2017-04-19,1.163,1.163,0.35,限制大额申购,开放赎回,nan
70,2017-04-20,1.182,1.182,1.63,限制大额申购,开放赎回,nan
71,2017-04-21,1.181,1.181,-0.08,限制大额申购,开放赎回,nan
72,2017-04-24,1.172,1.172,-0.76,限制大额申购,开放赎回,nan
73,2017-04-25,1.188,1.188,1.37,限制大额申购,开放赎回,nan
74,2017-04-26,1.186,1.186,-0.17,限制大额申购,开放赎回,nan
75,2017-04-27,1.181,1.181,-0.42,限制大额申购,开放赎回,nan
76,2017-04-28,1.174,1.174,-0.59,限制大额申购,开放赎回,nan
77,2017-05-02,1.176,1.176,0.17,限制大额申购,开放赎回,nan
78,2017-05-03,1.176,1.176,0.0,暂停申购,暂停赎回,nan
79,2017-05-04,1.177,1.177,0.09,限制大额申购,开放赎回,nan
80,2017-05-05,1.173,1.173,-0.34,限制大额申购,开放赎回,nan
81,2017-05-08,1.168,1.168,-0.43,限制大额申购,开放赎回,nan
82,2017-05-09,1.173,1.173,0.43,限制大额申购,开放赎回,nan
83,2017-05-10,1.186,1.186,1.11,限制大额申购,开放赎回,nan
84,2017-05-11,1.193,1.193,0.59,限制大额申购,开放赎回,nan
85,2017-05-12,1.197,1.197,0.34,限制大额申购,开放赎回,nan
86,2017-05-15,1.206,1.206,0.75,限制大额申购,开放赎回,nan
87,2017-05-16,1.218,1.218,1.0,限制大额申购,开放赎回,nan
88,2017-05-17,1.203,1.203,-1.23,限制大额申购,开放赎回,nan
89,2017-05-18,1.204,1.204,0.08,限制大额申购,开放赎回,nan
90,2017-05-19,1.21,1.21,0.5,限制大额申购,开放赎回,nan
91,2017-05-22,1.226,1.226,1.32,限制大额申购,开放赎回,nan
92,2017-05-23,1.23,1.23,0.33,限制大额申购,开放赎回,nan
93,2017-05-24,1.225,1.225,-0.41,限制大额申购,开放赎回,nan
94,2017-05-25,1.231,1.231,0.49,暂停申购,暂停赎回,nan
95,2017-05-26,1.228,1.228,-0.24,暂停申购,暂停赎回,nan
96,2017-05-31,1.238,1.238,0.81,限制大额申购,开放赎回,nan
97,2017-06-01,1.25,1.25,0.97,限制大额申购,开放赎回,nan
98,2017-06-02,1.249,1.249,-0.08,限制大额申购,开放赎回,nan
99,2017-06-05,1.252,1.252,0.24,限制大额申购,开放赎回,nan
100,2017-06-06,1.259,1.259,0.56,限制大额申购,开放赎回,nan
101,2017-06-07,1.27,1.27,0.87,限制大额申购,开放赎回,nan
102,2017-06-08,1.299,1.299,2.28,限制大额申购,开放赎回,nan
103,2017-06-09,1.311,1.311,0.92,限制大额申购,开放赎回,nan
104,2017-06-12,1.303,1.303,-0.61,限制大额申购,开放赎回,nan
105,2017-06-13,1.305,1.305,0.15,限制大额申购,开放赎回,nan
106,2017-06-14,1.285,1.285,-1.53,限制大额申购,开放赎回,nan
107,2017-06-15,1.283,1.283,-0.16,限制大额申购,开放赎回,nan
108,2017-06-16,1.279,1.279,-0.31,限制大额申购,开放赎回,nan
109,2017-06-19,1.29,1.29,0.86,限制大额申购,开放赎回,nan
110,2017-06-20,1.289,1.289,-0.08,限制大额申购,开放赎回,nan
111,2017-06-21,1.314,1.314,1.94,限制大额申购,开放赎回,nan
112,2017-06-22,1.302,1.302,-0.91,限制大额申购,开放赎回,nan
113,2017-06-23,1.318,1.318,1.23,限制大额申购,开放赎回,nan
114,2017-06-26,1.329,1.329,0.83,限制大额申购,开放赎回,nan
115,2017-06-27,1.335,1.335,0.45,限制大额申购,开放赎回,nan
116,2017-06-28,1.323,1.323,-0.9,限制大额申购,开放赎回,nan
