,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2017-02-16,1.0,1.0,,封闭期,封闭期,nan
1,2017-02-17,1.0,1.0,0.0,封闭期,封闭期,nan
2,2017-02-24,1.001,1.001,,封闭期,封闭期,nan
3,2017-03-03,1.001,1.001,,封闭期,封闭期,nan
4,2017-03-10,1.003,1.003,,封闭期,封闭期,nan
5,2017-03-17,1.006,1.006,,封闭期,封闭期,nan
6,2017-03-20,1.01,1.01,0.4,封闭期,封闭期,nan
7,2017-03-21,1.017,1.017,0.69,开放申购,开放赎回,nan
8,2017-03-22,1.023,1.023,0.59,开放申购,开放赎回,nan
9,2017-03-23,1.031,1.031,0.78,开放申购,开放赎回,nan
10,2017-03-24,1.04,1.04,0.87,开放申购,开放赎回,nan
11,2017-03-27,1.028,1.028,-1.15,开放申购,开放赎回,nan
12,2017-03-28,1.021,1.021,-0.68,开放申购,开放赎回,nan
13,2017-03-29,1.026,1.026,0.49,开放申购,开放赎回,nan
14,2017-03-30,1.019,1.019,-0.68,开放申购,开放赎回,nan
15,2017-03-31,1.026,1.026,0.69,开放申购,开放赎回,nan
16,2017-04-05,1.031,1.031,0.49,开放申购,开放赎回,nan
17,2017-04-06,1.03,1.03,-0.1,开放申购,开放赎回,nan
18,2017-04-07,1.032,1.032,0.19,开放申购,开放赎回,nan
19,2017-04-10,1.026,1.026,-0.58,开放申购,开放赎回,nan
20,2017-04-11,1.022,1.022,-0.39,开放申购,开放赎回,nan
21,2017-04-12,1.026,1.026,0.39,开放申购,开放赎回,nan
22,2017-04-13,1.029,1.029,0.29,开放申购,开放赎回,nan
23,2017-04-14,1.022,1.022,-0.68,开放申购,开放赎回,nan
24,2017-04-17,1.027,1.027,0.49,开放申购,开放赎回,nan
25,2017-04-18,1.036,1.036,0.88,开放申购,开放赎回,nan
26,2017-04-19,1.04,1.04,0.39,开放申购,开放赎回,nan
27,2017-04-20,1.052,1.052,1.15,开放申购,开放赎回,nan
28,2017-04-21,1.047,1.047,-0.48,开放申购,开放赎回,nan
29,2017-04-24,1.039,1.039,-0.76,开放申购,开放赎回,nan
30,2017-04-25,1.056,1.056,1.64,开放申购,开放赎回,nan
31,2017-04-26,1.052,1.052,-0.38,开放申购,开放赎回,nan
32,2017-04-27,1.053,1.053,0.1,开放申购,开放赎回,nan
33,2017-04-28,1.048,1.048,-0.47,开放申购,开放赎回,nan
34,2017-05-02,1.048,1.048,0.0,开放申购,开放赎回,nan
35,2017-05-03,1.046,1.046,-0.19,开放申购,开放赎回,nan
36,2017-05-04,1.048,1.048,0.19,开放申购,开放赎回,nan
37,2017-05-05,1.049,1.049,0.1,开放申购,开放赎回,nan
38,2017-05-08,1.037,1.037,-1.14,开放申购,开放赎回,nan
39,2017-05-09,1.04,1.04,0.29,开放申购,开放赎回,nan
40,2017-05-10,1.044,1.044,0.38,开放申购,开放赎回,nan
41,2017-05-11,1.052,1.052,0.77,开放申购,开放赎回,nan
42,2017-05-12,1.054,1.054,0.19,开放申购,开放赎回,nan
43,2017-05-15,1.067,1.067,1.23,开放申购,开放赎回,nan
44,2017-05-16,1.081,1.081,1.31,开放申购,开放赎回,nan
45,2017-05-17,1.071,1.071,-0.93,开放申购,开放赎回,nan
46,2017-05-18,1.066,1.066,-0.47,开放申购,开放赎回,nan
47,2017-05-19,1.07,1.07,0.38,开放申购,开放赎回,nan
48,2017-05-22,1.078,1.078,0.75,开放申购,开放赎回,nan
49,2017-05-23,1.087,1.087,0.83,开放申购,开放赎回,nan
50,2017-05-24,1.08,1.08,-0.64,开放申购,开放赎回,nan
51,2017-05-25,1.078,1.078,-0.19,开放申购,开放赎回,nan
52,2017-05-26,1.073,1.073,-0.46,开放申购,开放赎回,nan
53,2017-05-31,1.072,1.072,-0.09,开放申购,开放赎回,nan
54,2017-06-01,1.077,1.077,0.47,开放申购,开放赎回,nan
55,2017-06-02,1.073,1.073,-0.37,开放申购,开放赎回,nan
56,2017-06-05,1.072,1.072,-0.09,开放申购,开放赎回,nan
57,2017-06-06,1.083,1.083,1.03,开放申购,开放赎回,nan
58,2017-06-07,1.091,1.091,0.74,开放申购,开放赎回,nan
