,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2017-01-03,1.6777,4.3657,0.88,开放申购,开放赎回,nan
1,2017-01-04,1.7033,4.3913,1.53,开放申购,开放赎回,nan
2,2017-01-05,1.6999,4.3879,-0.2,开放申购,开放赎回,nan
3,2017-01-06,1.6895,4.3775,-0.61,开放申购,开放赎回,nan
4,2017-01-09,1.6913,4.3793,0.11,开放申购,开放赎回,nan
5,2017-01-10,1.6867,4.3747,-0.27,开放申购,开放赎回,nan
6,2017-01-11,1.6701,4.3581,-0.98,开放申购,开放赎回,nan
7,2017-01-12,1.6539,4.3419,-0.97,开放申购,开放赎回,nan
8,2017-01-13,1.636,4.324,-1.08,开放申购,开放赎回,nan
9,2017-01-16,1.6041,4.2921,-1.95,开放申购,开放赎回,nan
10,2017-01-17,1.6165,4.3045,0.77,开放申购,开放赎回,nan
11,2017-01-18,1.6198,4.3078,0.2,开放申购,开放赎回,nan
12,2017-01-19,1.6186,4.3066,-0.07,开放申购,开放赎回,nan
13,2017-01-20,1.6347,4.3227,0.99,开放申购,开放赎回,nan
14,2017-01-23,1.6393,4.3273,0.28,开放申购,开放赎回,nan
15,2017-01-24,1.6366,4.3246,-0.16,开放申购,开放赎回,nan
16,2017-01-25,1.6435,4.3315,0.42,开放申购,开放赎回,nan
17,2017-01-26,1.6487,4.3367,0.32,开放申购,开放赎回,nan
18,2017-02-03,1.6438,4.3318,-0.3,开放申购,开放赎回,nan
19,2017-02-06,1.648,4.336,0.26,开放申购,开放赎回,nan
20,2017-02-07,1.6387,4.3267,-0.56,开放申购,开放赎回,nan
21,2017-02-08,1.6499,4.3379,0.68,开放申购,开放赎回,nan
22,2017-02-09,1.6545,4.3425,0.28,开放申购,开放赎回,nan
23,2017-02-10,1.654,4.342,-0.03,开放申购,开放赎回,nan
24,2017-02-13,1.6686,4.3566,0.88,开放申购,开放赎回,nan
25,2017-02-14,1.6653,4.3533,-0.2,开放申购,开放赎回,nan
26,2017-02-15,1.6565,4.3445,-0.53,开放申购,开放赎回,nan
27,2017-02-16,1.6673,4.3553,0.65,开放申购,开放赎回,nan
28,2017-02-17,1.6623,4.3503,-0.3,开放申购,开放赎回,nan
29,2017-02-20,1.692,4.38,1.79,开放申购,开放赎回,nan
30,2017-02-21,1.7016,4.3896,0.57,开放申购,开放赎回,nan
31,2017-02-22,1.7104,4.3984,0.52,开放申购,开放赎回,nan
32,2017-02-23,1.7068,4.3948,-0.21,开放申购,开放赎回,nan
33,2017-02-24,1.7065,4.3945,-0.02,开放申购,开放赎回,nan
34,2017-02-27,1.6971,4.3851,-0.55,开放申购,开放赎回,nan
35,2017-02-28,1.7025,4.3905,0.32,开放申购,开放赎回,nan
36,2017-03-01,1.7045,4.3925,0.12,开放申购,开放赎回,nan
37,2017-03-02,1.6974,4.3854,-0.42,开放申购,开放赎回,nan
38,2017-03-03,1.7062,4.3942,0.52,开放申购,开放赎回,nan
39,2017-03-06,1.7265,4.4145,1.19,开放申购,开放赎回,nan
40,2017-03-07,1.7429,4.4309,0.95,开放申购,开放赎回,nan
41,2017-03-08,1.7459,4.4339,0.17,开放申购,开放赎回,nan
42,2017-03-09,1.7334,4.4214,-0.72,开放申购,开放赎回,nan
43,2017-03-10,1.7413,4.4293,0.46,开放申购,开放赎回,nan
44,2017-03-13,1.7619,4.4499,1.18,开放申购,开放赎回,nan
45,2017-03-14,1.7462,4.4342,-0.89,开放申购,开放赎回,nan
46,2017-03-15,1.7469,4.4349,0.04,开放申购,开放赎回,nan
47,2017-03-16,1.7483,4.4363,0.08,开放申购,开放赎回,nan
48,2017-03-17,1.7396,4.4276,-0.5,开放申购,开放赎回,nan
49,2017-03-20,1.7503,4.4383,0.62,开放申购,开放赎回,nan
50,2017-03-21,1.7708,4.4588,1.17,开放申购,开放赎回,nan
51,2017-03-22,1.7775,4.4655,0.38,开放申购,开放赎回,nan
52,2017-03-23,1.7914,4.4794,0.78,开放申购,开放赎回,nan
53,2017-03-24,1.791,4.479,-0.02,开放申购,开放赎回,nan
54,2017-03-27,1.7637,4.4517,-1.52,开放申购,开放赎回,nan
55,2017-03-28,1.7627,4.4507,-0.06,开放申购,开放赎回,nan
56,2017-03-29,1.7659,4.4539,0.18,开放申购,开放赎回,nan
