,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2017-01-03,0.926,0.926,0.76,开放申购,开放赎回,nan
1,2017-01-04,0.932,0.932,0.65,开放申购,开放赎回,nan
2,2017-01-05,0.936,0.936,0.43,开放申购,开放赎回,nan
3,2017-01-06,0.93,0.93,-0.64,开放申购,开放赎回,nan
4,2017-01-09,0.934,0.934,0.43,开放申购,开放赎回,nan
5,2017-01-10,0.937,0.937,0.32,开放申购,开放赎回,nan
6,2017-01-11,0.929,0.929,-0.85,开放申购,开放赎回,nan
7,2017-01-12,0.921,0.921,-0.86,开放申购,开放赎回,nan
8,2017-01-13,0.913,0.913,-0.87,开放申购,开放赎回,nan
9,2017-01-16,0.907,0.907,-0.66,开放申购,开放赎回,nan
10,2017-01-17,0.912,0.912,0.55,开放申购,开放赎回,nan
11,2017-01-18,0.917,0.917,0.55,开放申购,开放赎回,nan
12,2017-01-19,0.914,0.914,-0.33,开放申购,开放赎回,nan
13,2017-01-20,0.922,0.922,0.88,开放申购,开放赎回,nan
14,2017-01-23,0.931,0.931,0.98,开放申购,开放赎回,nan
15,2017-01-24,0.934,0.934,0.32,开放申购,开放赎回,nan
16,2017-01-25,0.935,0.935,0.11,开放申购,开放赎回,nan
17,2017-01-26,0.943,0.943,0.86,开放申购,开放赎回,nan
18,2017-02-03,0.937,0.937,-0.64,开放申购,开放赎回,nan
19,2017-02-06,0.941,0.941,0.43,开放申购,开放赎回,nan
20,2017-02-07,0.941,0.941,0.0,开放申购,开放赎回,nan
21,2017-02-08,0.944,0.944,0.32,开放申购,开放赎回,nan
22,2017-02-09,0.949,0.949,0.53,开放申购,开放赎回,nan
23,2017-02-10,0.955,0.955,0.63,开放申购,开放赎回,nan
24,2017-02-13,0.958,0.958,0.31,开放申购,开放赎回,nan
25,2017-02-14,0.966,0.966,0.84,开放申购,开放赎回,nan
26,2017-02-15,0.954,0.954,-1.24,开放申购,开放赎回,nan
27,2017-02-16,0.96,0.96,0.63,开放申购,开放赎回,nan
28,2017-02-17,0.951,0.951,-0.94,开放申购,开放赎回,nan
29,2017-02-20,0.963,0.963,1.26,开放申购,开放赎回,nan
30,2017-02-21,0.97,0.97,0.73,开放申购,开放赎回,nan
31,2017-02-22,0.974,0.974,0.41,开放申购,开放赎回,nan
32,2017-02-23,0.967,0.967,-0.72,开放申购,开放赎回,nan
33,2017-02-24,0.966,0.966,-0.1,开放申购,开放赎回,nan
34,2017-02-27,0.96,0.96,-0.62,开放申购,开放赎回,nan
35,2017-02-28,0.963,0.963,0.31,开放申购,开放赎回,nan
36,2017-03-01,0.965,0.965,0.21,开放申购,开放赎回,nan
37,2017-03-02,0.961,0.961,-0.41,开放申购,开放赎回,nan
38,2017-03-03,0.961,0.961,0.0,开放申购,开放赎回,nan
39,2017-03-06,0.965,0.965,0.42,开放申购,开放赎回,nan
40,2017-03-07,0.967,0.967,0.21,开放申购,开放赎回,nan
41,2017-03-08,0.965,0.965,-0.21,开放申购,开放赎回,nan
42,2017-03-09,0.959,0.959,-0.62,开放申购,开放赎回,nan
43,2017-03-10,0.962,0.962,0.31,开放申购,开放赎回,nan
44,2017-03-13,0.968,0.968,0.62,开放申购,开放赎回,nan
45,2017-03-14,0.967,0.967,-0.1,开放申购,开放赎回,nan
46,2017-03-15,0.968,0.968,0.1,开放申购,开放赎回,nan
47,2017-03-16,0.974,0.974,0.62,开放申购,开放赎回,nan
48,2017-03-17,0.966,0.966,-0.82,开放申购,开放赎回,nan
49,2017-03-20,0.969,0.969,0.31,开放申购,开放赎回,nan
50,2017-03-21,0.975,0.975,0.62,开放申购,开放赎回,nan
51,2017-03-22,0.976,0.976,0.1,开放申购,开放赎回,nan
52,2017-03-23,0.977,0.977,0.1,开放申购,开放赎回,nan
53,2017-03-24,0.976,0.976,-0.1,开放申购,开放赎回,nan
54,2017-03-27,0.968,0.968,-0.82,开放申购,开放赎回,nan
55,2017-03-28,0.965,0.965,-0.31,开放申购,开放赎回,nan
56,2017-03-29,0.968,0.968,0.31,开放申购,开放赎回,nan
57,2017-03-30,0.959,0.959,-0.93,开放申购,开放赎回,nan
58,2017-03-31,0.966,0.966,0.73,开放申购,开放赎回,nan
59,2017-04-05,0.986,0.986,2.07,开放申购,开放赎回,nan
60,2017-04-06,0.99,0.99,0.41,开放申购,开放赎回,nan
61,2017-04-07,0.996,0.996,0.61,开放申购,开放赎回,nan
62,2017-04-10,0.998,0.998,0.2,开放申购,开放赎回,nan
63,2017-04-11,1.001,1.001,0.3,开放申购,开放赎回,nan
64,2017-04-12,0.998,0.998,-0.3,开放申购,开放赎回,nan
65,2017-04-13,1.005,1.005,0.7,开放申购,开放赎回,nan
66,2017-04-14,0.996,0.996,-0.9,开放申购,开放赎回,nan
67,2017-04-17,0.995,0.995,-0.1,开放申购,开放赎回,nan
68,2017-04-18,0.995,0.995,0.0,开放申购,开放赎回,nan
69,2017-04-19,0.986,0.986,-0.9,开放申购,开放赎回,nan
70,2017-04-20,0.995,0.995,0.91,开放申购,开放赎回,nan
71,2017-04-21,0.996,0.996,0.1,开放申购,开放赎回,nan
72,2017-04-24,0.975,0.975,-2.11,开放申购,开放赎回,nan
73,2017-04-25,0.979,0.979,0.41,开放申购,开放赎回,nan
74,2017-04-26,0.979,0.979,0.0,开放申购,开放赎回,nan
75,2017-04-27,0.983,0.983,0.41,开放申购,开放赎回,nan
76,2017-04-28,0.979,0.979,-0.41,开放申购,开放赎回,nan
77,2017-05-02,0.989,0.989,1.02,开放申购,开放赎回,nan
78,2017-05-03,0.984,0.984,-0.51,开放申购,开放赎回,nan
79,2017-05-04,0.978,0.978,-0.61,开放申购,开放赎回,nan
80,2017-05-05,0.969,0.969,-0.92,开放申购,开放赎回,nan
81,2017-05-08,0.957,0.957,-1.24,开放申购,开放赎回,nan
82,2017-05-09,0.958,0.958,0.1,开放申购,开放赎回,nan
83,2017-05-10,0.949,0.949,-0.94,开放申购,开放赎回,nan
84,2017-05-11,0.953,0.953,0.42,开放申购,开放赎回,nan
85,2017-05-12,0.954,0.954,0.1,开放申购,开放赎回,nan
86,2017-05-15,0.957,0.957,0.31,开放申购,开放赎回,nan
87,2017-05-16,0.973,0.973,1.67,开放申购,开放赎回,nan
88,2017-05-17,0.971,0.971,-0.21,开放申购,开放赎回,nan
89,2017-05-18,0.965,0.965,-0.62,开放申购,开放赎回,nan
90,2017-05-19,0.964,0.964,-0.1,开放申购,开放赎回,nan
91,2017-05-22,0.958,0.958,-0.62,开放申购,开放赎回,nan
92,2017-05-23,0.95,0.95,-0.84,开放申购,开放赎回,nan
93,2017-05-24,0.952,0.952,0.21,开放申购,开放赎回,nan
94,2017-05-25,0.958,0.958,0.63,开放申购,开放赎回,nan
95,2017-05-26,0.955,0.955,-0.31,开放申购,开放赎回,nan
96,2017-05-31,0.953,0.953,-0.21,开放申购,开放赎回,nan
97,2017-06-01,0.945,0.945,-0.84,开放申购,开放赎回,nan
98,2017-06-02,0.945,0.945,0.0,开放申购,开放赎回,nan
99,2017-06-05,0.946,0.946,0.11,开放申购,开放赎回,nan
100,2017-06-06,0.955,0.955,0.95,开放申购,开放赎回,nan
101,2017-06-07,0.97,0.97,1.57,开放申购,开放赎回,nan
102,2017-06-08,0.974,0.974,0.41,开放申购,开放赎回,nan
103,2017-06-09,0.983,0.983,0.92,开放申购,开放赎回,nan
104,2017-06-12,0.985,0.985,0.2,开放申购,开放赎回,nan
105,2017-06-13,0.99,0.99,0.51,开放申购,开放赎回,nan
106,2017-06-14,0.981,0.981,-0.91,开放申购,开放赎回,nan
107,2017-06-15,0.979,0.979,-0.2,开放申购,开放赎回,nan
108,2017-06-16,0.976,0.976,-0.31,开放申购,开放赎回,nan
109,2017-06-19,0.985,0.985,0.92,开放申购,开放赎回,nan
110,2017-06-20,0.986,0.986,0.1,开放申购,开放赎回,nan
111,2017-06-21,1.0,1.0,1.42,开放申购,开放赎回,nan
112,2017-06-22,0.989,0.989,-1.1,开放申购,开放赎回,nan
113,2017-06-23,0.999,0.999,1.01,开放申购,开放赎回,nan
114,2017-06-26,1.018,1.018,1.9,开放申购,开放赎回,nan
115,2017-06-27,1.02,1.02,0.2,开放申购,开放赎回,nan
116,2017-06-28,1.011,1.011,-0.88,开放申购,开放赎回,nan
117,2017-06-29,1.018,1.018,0.69,开放申购,开放赎回,nan
118,2017-06-30,1.02,1.02,0.2,开放申购,开放赎回,nan
119,2017-07-03,1.017,1.017,-0.29,开放申购,开放赎回,nan
120,2017-07-04,1.007,1.007,-0.98,开放申购,开放赎回,nan
121,2017-07-05,1.021,1.021,1.39,开放申购,开放赎回,nan
122,2017-07-06,1.023,1.023,0.2,开放申购,开放赎回,nan
123,2017-07-07,1.028,1.028,0.49,开放申购,开放赎回,nan
124,2017-07-10,1.028,1.028,0.0,开放申购,开放赎回,nan
125,2017-07-11,1.023,1.023,-0.49,开放申购,开放赎回,nan
126,2017-07-12,1.023,1.023,0.0,开放申购,开放赎回,nan
127,2017-07-13,1.023,1.023,0.0,开放申购,开放赎回,nan
128,2017-07-14,1.029,1.029,0.59,开放申购,开放赎回,nan
129,2017-07-17,1.01,1.01,-1.85,开放申购,开放赎回,nan
130,2017-07-18,1.019,1.019,0.89,开放申购,开放赎回,nan
131,2017-07-19,1.037,1.037,1.77,开放申购,开放赎回,nan
132,2017-07-20,1.043,1.043,0.58,开放申购,开放赎回,nan
133,2017-07-21,1.044,1.044,0.1,开放申购,开放赎回,nan
134,2017-07-24,1.044,1.044,0.0,开放申购,开放赎回,nan
135,2017-07-25,1.037,1.037,-0.67,开放申购,开放赎回,nan
136,2017-07-26,1.034,1.034,-0.29,开放申购,开放赎回,nan
137,2017-07-27,1.033,1.033,-0.1,开放申购,开放赎回,nan
138,2017-07-28,1.051,1.051,1.74,开放申购,开放赎回,nan
139,2017-07-31,1.068,1.068,1.62,开放申购,开放赎回,nan
140,2017-08-01,1.072,1.072,0.37,开放申购,开放赎回,nan
141,2017-08-02,1.061,1.061,-1.03,开放申购,开放赎回,nan
142,2017-08-03,1.049,1.049,-1.13,开放申购,开放赎回,nan
143,2017-08-04,1.044,1.044,-0.48,开放申购,开放赎回,nan
144,2017-08-07,1.055,1.055,1.05,开放申购,开放赎回,nan
145,2017-08-08,1.054,1.054,-0.09,开放申购,开放赎回,nan
146,2017-08-09,1.061,1.061,0.66,开放申购,开放赎回,nan
147,2017-08-10,1.05,1.05,-1.04,开放申购,开放赎回,nan
148,2017-08-11,1.02,1.02,-2.86,开放申购,开放赎回,nan
149,2017-08-14,1.036,1.036,1.57,开放申购,开放赎回,nan
150,2017-08-15,1.04,1.04,0.39,开放申购,开放赎回,nan
151,2017-08-16,1.043,1.043,0.29,开放申购,开放赎回,nan
152,2017-08-17,1.046,1.046,0.29,开放申购,开放赎回,nan
153,2017-08-18,1.042,1.042,-0.38,开放申购,开放赎回,nan
154,2017-08-21,1.047,1.047,0.48,开放申购,开放赎回,nan
155,2017-08-22,1.044,1.044,-0.29,开放申购,开放赎回,nan
156,2017-08-23,1.037,1.037,-0.67,开放申购,开放赎回,nan
157,2017-08-24,1.028,1.028,-0.87,开放申购,开放赎回,nan
158,2017-08-25,1.045,1.045,1.65,开放申购,开放赎回,nan
159,2017-08-28,1.059,1.059,1.34,开放申购,开放赎回,nan
160,2017-08-29,1.061,1.061,0.19,开放申购,开放赎回,nan
161,2017-08-30,1.061,1.061,0.0,开放申购,开放赎回,nan
162,2017-08-31,1.062,1.062,0.09,开放申购,开放赎回,nan
163,2017-09-01,1.066,1.066,0.38,开放申购,开放赎回,nan
164,2017-09-04,1.067,1.067,0.09,开放申购,开放赎回,nan
165,2017-09-05,1.073,1.073,0.56,开放申购,开放赎回,nan
166,2017-09-06,1.072,1.072,-0.09,开放申购,开放赎回,nan
167,2017-09-07,1.065,1.065,-0.65,开放申购,开放赎回,nan
168,2017-09-08,1.07,1.07,0.47,开放申购,开放赎回,nan
169,2017-09-11,1.089,1.089,1.78,开放申购,开放赎回,nan
170,2017-09-12,1.087,1.087,-0.18,开放申购,开放赎回,nan
171,2017-09-13,1.096,1.096,0.83,开放申购,开放赎回,nan
172,2017-09-14,1.095,1.095,-0.09,开放申购,开放赎回,nan
173,2017-09-15,1.09,1.09,-0.46,开放申购,开放赎回,nan
174,2017-09-18,1.094,1.094,0.37,开放申购,开放赎回,nan
175,2017-09-19,1.088,1.088,-0.55,开放申购,开放赎回,nan
176,2017-09-20,1.099,1.099,1.01,开放申购,开放赎回,nan
177,2017-09-21,1.085,1.085,-1.27,开放申购,开放赎回,nan
178,2017-09-22,1.08,1.08,-0.46,开放申购,开放赎回,nan
179,2017-09-25,1.072,1.072,-0.74,开放申购,开放赎回,nan
180,2017-09-26,1.078,1.078,0.56,开放申购,开放赎回,nan
181,2017-09-27,1.088,1.088,0.93,开放申购,开放赎回,nan
182,2017-09-28,1.089,1.089,0.09,开放申购,开放赎回,nan
183,2017-09-29,1.094,1.094,0.46,开放申购,开放赎回,nan
184,2017-10-09,1.1,1.1,0.55,开放申购,开放赎回,nan
185,2017-10-10,1.101,1.101,0.09,开放申购,开放赎回,nan
186,2017-10-11,1.103,1.103,0.18,开放申购,开放赎回,nan
187,2017-10-12,1.104,1.104,0.09,开放申购,开放赎回,nan
188,2017-10-13,1.105,1.105,0.09,开放申购,开放赎回,nan
189,2017-10-16,1.101,1.101,-0.36,开放申购,开放赎回,nan
190,2017-10-17,1.098,1.098,-0.27,开放申购,开放赎回,nan
191,2017-10-18,1.096,1.096,-0.18,开放申购,开放赎回,nan
192,2017-10-19,1.095,1.095,-0.09,开放申购,开放赎回,nan
193,2017-10-20,1.101,1.101,0.55,开放申购,开放赎回,nan
194,2017-10-23,1.101,1.101,0.0,开放申购,开放赎回,nan
195,2017-10-24,1.106,1.106,0.45,开放申购,开放赎回,nan
196,2017-10-25,1.109,1.109,0.27,开放申购,开放赎回,nan
197,2017-10-26,1.111,1.111,0.18,开放申购,开放赎回,nan
198,2017-10-27,1.115,1.115,0.36,开放申购,开放赎回,nan
199,2017-10-30,1.105,1.105,-0.9,开放申购,开放赎回,nan
200,2017-10-31,1.11,1.11,0.45,开放申购,开放赎回,nan
201,2017-11-01,1.108,1.108,-0.18,开放申购,开放赎回,nan
202,2017-11-02,1.102,1.102,-0.54,开放申购,开放赎回,nan
203,2017-11-03,1.096,1.096,-0.54,开放申购,开放赎回,nan
204,2017-11-06,1.109,1.109,1.19,开放申购,开放赎回,nan
205,2017-11-07,1.113,1.113,0.36,开放申购,开放赎回,nan
206,2017-11-08,1.112,1.112,-0.09,开放申购,开放赎回,nan
207,2017-11-09,1.116,1.116,0.36,开放申购,开放赎回,nan
208,2017-11-10,1.132,1.132,1.43,开放申购,开放赎回,nan
209,2017-11-13,1.138,1.138,0.53,开放申购,开放赎回,nan
210,2017-11-14,1.127,1.127,-0.97,开放申购,开放赎回,nan
211,2017-11-15,1.115,1.115,-1.06,开放申购,开放赎回,nan
212,2017-11-16,1.127,1.127,1.08,开放申购,开放赎回,nan
213,2017-11-17,1.119,1.119,-0.71,开放申购,开放赎回,nan
214,2017-11-20,1.124,1.124,0.45,开放申购,开放赎回,nan
215,2017-11-21,1.14,1.14,1.42,开放申购,开放赎回,nan
216,2017-11-22,1.13,1.13,-0.88,开放申购,开放赎回,nan
217,2017-11-23,1.093,1.093,-3.27,开放申购,开放赎回,nan
218,2017-11-24,1.093,1.093,0.0,开放申购,开放赎回,nan
219,2017-11-27,1.08,1.08,-1.19,开放申购,开放赎回,nan
220,2017-11-28,1.086,1.086,0.56,开放申购,开放赎回,nan
221,2017-11-29,1.086,1.086,0.0,开放申购,开放赎回,nan
222,2017-11-30,1.071,1.071,-1.38,开放申购,开放赎回,nan
223,2017-12-01,1.073,1.073,0.19,开放申购,开放赎回,nan
224,2017-12-04,1.083,1.083,0.93,开放申购,开放赎回,nan
225,2017-12-05,1.082,1.082,-0.09,开放申购,开放赎回,nan
226,2017-12-06,1.073,1.073,-0.83,开放申购,开放赎回,nan
227,2017-12-07,1.06,1.06,-1.21,开放申购,开放赎回,nan
228,2017-12-08,1.075,1.075,1.42,开放申购,开放赎回,nan
229,2017-12-11,1.101,1.101,2.42,开放申购,开放赎回,nan
230,2017-12-12,1.094,1.094,-0.64,开放申购,开放赎回,nan
231,2017-12-13,1.112,1.112,1.65,开放申购,开放赎回,nan
232,2017-12-14,1.115,1.115,0.27,开放申购,开放赎回,nan
233,2017-12-15,1.101,1.101,-1.26,开放申购,开放赎回,nan
234,2017-12-18,1.102,1.102,0.09,开放申购,开放赎回,nan
235,2017-12-19,1.11,1.11,0.73,开放申购,开放赎回,nan
236,2017-12-20,1.116,1.116,0.54,开放申购,开放赎回,nan
237,2017-12-21,1.13,1.13,1.25,开放申购,开放赎回,nan
238,2017-12-22,1.123,1.123,-0.62,开放申购,开放赎回,nan
239,2017-12-25,1.123,1.123,0.0,开放申购,开放赎回,nan
240,2017-12-26,1.123,1.123,0.0,开放申购,开放赎回,nan
241,2017-12-27,1.11,1.11,-1.16,开放申购,开放赎回,nan
242,2017-12-28,1.121,1.121,0.99,开放申购,开放赎回,nan
243,2017-12-29,1.123,1.123,0.18,开放申购,开放赎回,nan
244,2017-12-31,1.122,1.122,,开放申购,开放赎回,nan
245,2018-01-02,1.142,1.142,1.69,开放申购,开放赎回,nan
246,2018-01-03,1.145,1.145,0.26,开放申购,开放赎回,nan
247,2018-01-04,1.15,1.15,0.44,开放申购,开放赎回,nan
248,2018-01-05,1.153,1.153,0.26,开放申购,开放赎回,nan
249,2018-01-08,1.162,1.162,0.78,开放申购,开放赎回,nan
250,2018-01-09,1.171,1.171,0.77,开放申购,开放赎回,nan
251,2018-01-10,1.173,1.173,0.17,开放申购,开放赎回,nan
252,2018-01-11,1.165,1.165,-0.68,开放申购,开放赎回,nan
253,2018-01-12,1.173,1.173,0.69,开放申购,开放赎回,nan
254,2018-01-15,1.17,1.17,-0.26,开放申购,开放赎回,nan
255,2018-01-16,1.185,1.185,1.28,开放申购,开放赎回,nan
256,2018-01-17,1.165,1.165,-1.69,开放申购,开放赎回,nan
257,2018-01-18,1.178,1.178,1.12,开放申购,开放赎回,nan
258,2018-01-19,1.173,1.173,-0.42,开放申购,开放赎回,nan
259,2018-01-22,1.192,1.192,1.62,开放申购,开放赎回,nan
260,2018-01-23,1.212,1.212,1.68,开放申购,开放赎回,nan
261,2018-01-24,1.203,1.203,-0.74,开放申购,开放赎回,nan
262,2018-01-25,1.195,1.195,-0.67,开放申购,开放赎回,nan
263,2018-01-26,1.194,1.194,-0.08,开放申购,开放赎回,nan
264,2018-01-29,1.175,1.175,-1.59,开放申购,开放赎回,nan
265,2018-01-30,1.165,1.165,-0.85,开放申购,开放赎回,nan
266,2018-01-31,1.171,1.171,0.52,开放申购,开放赎回,nan
267,2018-02-01,1.166,1.166,-0.43,开放申购,开放赎回,nan
268,2018-02-02,1.18,1.18,1.2,开放申购,开放赎回,nan
269,2018-02-05,1.182,1.182,0.17,开放申购,开放赎回,nan
270,2018-02-06,1.144,1.144,-3.21,开放申购,开放赎回,nan
271,2018-02-07,1.097,1.097,-4.11,开放申购,开放赎回,nan
272,2018-02-08,1.086,1.086,-1.0,开放申购,开放赎回,nan
273,2018-02-09,1.043,1.043,-3.96,开放申购,开放赎回,nan
274,2018-02-12,1.06,1.06,1.63,开放申购,开放赎回,nan
275,2018-02-13,1.073,1.073,1.23,开放申购,开放赎回,nan
276,2018-02-14,1.081,1.081,0.75,开放申购,开放赎回,nan
277,2018-02-22,1.106,1.106,2.31,开放申购,开放赎回,nan
278,2018-02-23,1.112,1.112,0.54,开放申购,开放赎回,nan
279,2018-02-26,1.116,1.116,0.36,开放申购,开放赎回,nan
280,2018-02-27,1.094,1.094,-1.97,开放申购,开放赎回,nan
281,2018-02-28,1.086,1.086,-0.73,开放申购,开放赎回,nan
