,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2018-07-10,1.0,1.0,,封闭期,封闭期,nan
1,2018-07-13,0.9999,0.9999,,封闭期,封闭期,nan
2,2018-07-20,0.9998,0.9998,,封闭期,封闭期,nan
3,2018-07-26,0.9997,0.9997,,封闭期,封闭期,nan
4,2018-07-27,0.9997,0.9997,0.0,开放申购,开放赎回,nan
5,2018-07-30,1.0016,1.0016,0.19,开放申购,开放赎回,nan
6,2018-07-31,1.0048,1.0048,0.32,开放申购,开放赎回,nan
7,2018-08-01,1.0046,1.0046,-0.02,开放申购,开放赎回,nan
8,2018-08-02,1.0043,1.0043,-0.03,开放申购,开放赎回,nan
9,2018-08-03,1.0037,1.0037,-0.06,开放申购,开放赎回,nan
10,2018-08-06,1.0021,1.0021,-0.16,开放申购,开放赎回,nan
11,2018-08-07,1.0031,1.0031,0.1,开放申购,开放赎回,nan
12,2018-08-08,1.0023,1.0023,-0.08,开放申购,开放赎回,nan
13,2018-08-09,1.0048,1.0048,0.25,开放申购,开放赎回,nan
14,2018-08-10,1.0055,1.0055,0.07,开放申购,开放赎回,nan
15,2018-08-13,1.0054,1.0054,-0.01,开放申购,开放赎回,nan
16,2018-08-14,1.0044,1.0044,-0.1,开放申购,开放赎回,nan
17,2018-08-15,0.9997,0.9997,-0.47,开放申购,开放赎回,nan
18,2018-08-16,0.9973,0.9973,-0.24,开放申购,开放赎回,nan
19,2018-08-17,0.9946,0.9946,-0.27,开放申购,开放赎回,nan
20,2018-08-20,0.9954,0.9954,0.08,开放申购,开放赎回,nan
21,2018-08-21,0.9986,0.9986,0.32,开放申购,开放赎回,nan
22,2018-08-22,0.9989,0.9989,0.03,开放申购,开放赎回,nan
23,2018-08-23,0.9996,0.9996,0.07,开放申购,开放赎回,nan
24,2018-08-24,0.9992,0.9992,-0.04,开放申购,开放赎回,nan
25,2018-08-27,1.0074,1.0074,0.82,开放申购,开放赎回,nan
26,2018-08-28,1.0095,1.0095,0.21,开放申购,开放赎回,nan
27,2018-08-29,1.0063,1.0063,-0.32,开放申购,开放赎回,nan
