,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2017-01-03,2.656,3.036,0.38,限制大额申购,开放赎回,nan
1,2017-01-04,2.671,3.051,0.56,限制大额申购,开放赎回,nan
2,2017-01-05,2.663,3.043,-0.3,限制大额申购,开放赎回,nan
3,2017-01-06,2.65,3.03,-0.49,限制大额申购,开放赎回,nan
4,2017-01-09,2.655,3.035,0.19,限制大额申购,开放赎回,nan
5,2017-01-10,2.653,3.033,-0.08,限制大额申购,开放赎回,nan
6,2017-01-11,2.631,3.011,-0.83,限制大额申购,开放赎回,nan
7,2017-01-12,2.606,2.986,-0.95,限制大额申购,开放赎回,nan
8,2017-01-13,2.558,2.938,-1.84,限制大额申购,开放赎回,nan
9,2017-01-16,2.478,2.858,-3.13,限制大额申购,开放赎回,nan
10,2017-01-17,2.505,2.885,1.09,限制大额申购,开放赎回,nan
11,2017-01-18,2.489,2.869,-0.64,限制大额申购,开放赎回,nan
12,2017-01-19,2.487,2.867,-0.08,限制大额申购,开放赎回,nan
13,2017-01-20,2.518,2.898,1.25,限制大额申购,开放赎回,nan
14,2017-01-23,2.543,2.923,0.99,限制大额申购,开放赎回,nan
15,2017-01-24,2.528,2.908,-0.59,限制大额申购,开放赎回,nan
16,2017-01-25,2.538,2.918,0.4,限制大额申购,开放赎回,nan
17,2017-01-26,2.56,2.94,0.87,限制大额申购,开放赎回,nan
18,2017-02-03,2.553,2.933,-0.27,限制大额申购,开放赎回,nan
19,2017-02-06,2.577,2.957,0.94,限制大额申购,开放赎回,nan
20,2017-02-07,2.571,2.951,-0.23,限制大额申购,开放赎回,nan
21,2017-02-08,2.587,2.967,0.62,限制大额申购,开放赎回,nan
22,2017-02-09,2.597,2.977,0.39,限制大额申购,开放赎回,nan
23,2017-02-10,2.605,2.985,0.31,限制大额申购,开放赎回,nan
24,2017-02-13,2.621,3.001,0.61,限制大额申购,开放赎回,nan
25,2017-02-14,2.624,3.004,0.11,限制大额申购,开放赎回,nan
26,2017-02-15,2.607,2.987,-0.65,限制大额申购,开放赎回,nan
